Index,Process,Time,Temp,Current,Date,Label
1,1,오후 4:26:43.0,75.04198315,1.483,2022-09-10,0
2,1,오후 4:26:48.0,74.31247367,1.515,2022-09-10,0
3,1,오후 4:26:53.0,75.53366359,1.699,2022-09-10,0
4,1,오후 4:26:58.0,73.74042367,1.683,2022-09-10,0
5,1,오후 4:27:03.0,75.0451851,1.71,2022-09-10,0
6,1,오후 4:27:08.0,76.4724905,1.669,2022-09-10,0
7,1,오후 4:27:13.0,74.204035,1.7,2022-09-10,0
8,1,오후 4:27:18.0,73.87178422,1.731,2022-09-10,0
9,1,오후 4:27:23.0,75.49957941,1.68,2022-09-10,0
10,1,오후 4:27:28.0,72.86391347,1.673,2022-09-10,0
11,1,오후 4:27:33.0,75.90814854,1.71,2022-09-10,0
12,1,오후 4:27:38.0,75.66209656,1.649,2022-09-10,0
13,1,오후 4:27:43.0,69.04198315,1.718,2022-09-10,0
14,1,오후 4:27:48.0,72.31247367,1.713,2022-09-10,0
15,1,오후 4:27:53.0,71.53366359,1.562,2022-09-10,0
16,1,오후 4:27:58.0,69.74042367,1.637,2022-09-10,0
17,1,오후 4:28:03.0,72.0451851,1.619,2022-09-10,0
18,1,오후 4:28:08.0,71.4724905,1.579,2022-09-10,0
19,1,오후 4:28:13.0,70.01093857,1.631,2022-09-10,0
20,1,오후 4:28:18.0,68.19333629,1.618,2022-09-10,0
21,1,오후 4:28:23.0,71.28386419,1.585,2022-09-10,0
22,1,오후 4:28:28.0,68.3394548,1.544,2022-09-10,0
23,1,오후 4:28:33.0,70.49933689,1.614,2022-09-10,0
24,1,오후 4:28:38.0,70.81608582,1.547,2022-09-10,0
25,1,오후 4:28:43.1,67.04198315,1.596,2022-09-10,0
26,1,오후 4:28:48.1,66.31247367,1.604,2022-09-10,0
27,1,오후 4:28:53.1,68.53366359,1.517,2022-09-10,0
28,1,오후 4:28:58.1,69.74042367,1.501,2022-09-10,0
29,1,오후 4:29:03.1,70.0451851,1.551,2022-09-10,0
30,1,오후 4:29:08.1,70.4724905,1.578,2022-09-10,0
31,1,오후 4:29:13.1,64.08489761,1.586,2022-09-10,0
32,1,오후 4:29:18.1,64.47081535,1.595,2022-09-10,0
33,1,오후 4:29:23.1,64.84317473,1.45,2022-09-10,0
34,1,오후 4:29:28.1,67.18546554,1.458,2022-09-10,0
35,1,오후 4:29:33.1,66.55671043,1.467,2022-09-10,0
36,1,오후 4:29:38.1,66.93957562,1.521,2022-09-10,0
37,2,오후 4:30:04.3,74.13914228,1.507,2022-09-10,0
38,2,오후 4:30:09.3,76.66042142,1.515,2022-09-10,0
39,2,오후 4:30:14.3,74.17766014,1.679,2022-09-10,0
40,2,오후 4:30:19.3,76.58643441,1.736,2022-09-10,0
41,2,오후 4:30:24.3,75.87710396,1.679,2022-09-10,0
42,2,오후 4:30:29.3,78.01353467,1.734,2022-09-10,0
43,2,오후 4:30:34.3,71.04198315,1.718,2022-09-10,0
44,2,오후 4:30:39.3,73.31247367,1.767,2022-09-10,0
45,2,오후 4:30:44.3,73.53366359,1.608,2022-09-10,0
46,2,오후 4:30:49.3,71.74042367,1.66,2022-09-10,0
47,2,오후 4:30:54.3,74.0451851,1.665,2022-09-10,0
48,2,오후 4:30:59.3,72.4724905,1.625,2022-09-10,0
49,2,오후 4:31:04.3,71.04198315,1.676,2022-09-10,0
50,2,오후 4:31:09.4,69.31247367,1.641,2022-09-10,0
51,2,오후 4:31:14.4,69.53366359,1.608,2022-09-10,0
52,2,오후 4:31:19.4,69.74042367,1.569,2022-09-10,0
53,2,오후 4:31:24.4,71.0451851,1.574,2022-09-10,0
54,2,오후 4:31:29.4,73.4724905,1.578,2022-09-10,0
55,2,오후 4:31:34.4,71.08489761,1.608,2022-09-10,0
56,2,오후 4:31:39.4,69.47081535,1.663,2022-09-10,0
57,2,오후 4:31:44.4,69.84317473,1.609,2022-09-10,0
58,2,오후 4:31:49.4,72.18546554,1.573,2022-09-10,0
59,2,오후 4:31:54.4,69.55671043,1.581,2022-09-10,0
60,2,오후 4:31:59.4,72.93957562,1.634,2022-09-10,0
61,2,오후 4:32:04.4,68.08489761,1.574,2022-09-10,0
62,2,오후 4:32:09.4,67.47081535,1.652,2022-09-10,0
63,2,오후 4:32:14.4,69.84317473,1.541,2022-09-10,0
64,2,오후 4:32:19.4,76.41434306,1.686549349,2022-09-10,0
65,2,오후 4:32:24.4,67.55671043,1.581,2022-09-10,0
66,2,오후 4:32:29.4,69.93957562,1.566,2022-09-10,0
67,2,오후 4:32:34.4,66.01093857,1.529,2022-09-10,0
68,2,오후 4:32:39.4,66.19333629,1.583,2022-09-10,0
69,2,오후 4:32:44.5,64.28386419,1.494,2022-09-10,0
70,2,오후 4:32:49.5,64.3394548,1.498,2022-09-10,0
71,2,오후 4:32:54.5,64.49933689,1.455,2022-09-10,0
72,2,오후 4:32:59.5,65.81608582,1.456,2022-09-10,0
73,3,오후 4:33:26.2,73.08489761,1.459,2022-09-10,0
74,3,오후 4:33:31.2,74.47081535,1.489,2022-09-10,0
75,3,오후 4:33:36.2,73.84317473,1.655,2022-09-10,0
76,3,오후 4:33:41.2,77.18546554,1.686,2022-09-10,0
77,3,오후 4:33:46.3,74.55671043,1.672,2022-09-10,0
78,3,오후 4:33:51.3,76.93957562,1.748,2022-09-10,0
79,3,오후 4:33:56.3,74.04198315,1.688,2022-09-10,0
80,3,오후 4:34:01.3,73.31247367,1.742,2022-09-10,0
81,3,오후 4:34:06.3,73.53366359,1.677,2022-09-10,0
82,3,오후 4:34:11.3,73.74042367,1.66,2022-09-10,0
83,3,오후 4:34:16.3,75.0451851,1.665,2022-09-10,0
84,3,오후 4:34:21.3,72.4724905,1.669,2022-09-10,0
85,3,오후 4:34:26.3,70.04198315,1.699,2022-09-10,0
86,3,오후 4:34:31.3,71.31247367,1.641,2022-09-10,0
87,3,오후 4:34:36.3,69.53366359,1.585,2022-09-10,0
88,3,오후 4:34:41.3,71.74042367,1.614,2022-09-10,0
89,3,오후 4:34:46.3,73.0451851,1.574,2022-09-10,0
90,3,오후 4:34:51.3,72.4724905,1.625,2022-09-10,0
91,3,오후 4:34:56.3,69.13914228,1.653,2022-09-10,0
92,3,오후 4:35:01.3,69.66042142,1.64,2022-09-10,0
93,3,오후 4:35:06.3,70.17766014,1.565,2022-09-10,0
94,3,오후 4:35:11.3,72.58643441,1.577,2022-09-10,0
95,3,오후 4:35:16.3,71.87710396,1.589,2022-09-10,0
96,3,오후 4:35:21.3,70.01353467,1.644,2022-09-10,0
97,3,오후 4:35:26.3,69.08489761,1.627,2022-09-10,0
98,3,오후 4:35:31.4,67.47081535,1.585,2022-09-10,0
99,3,오후 4:35:36.4,66.84317473,1.564,2022-09-10,0
100,3,오후 4:35:41.4,68.18546554,1.527,2022-09-10,0
101,3,오후 4:35:46.4,70.55671043,1.513,2022-09-10,0
