Index,Process,Time,Temp,Current,Date
1,1,오후 4:22:09.0,75.00784573,1.506,2022-09-09
2,1,오후 4:22:14.0,73.11937724,1.56,2022-09-09
3,1,오후 4:22:19.0,75.12181234,1.699,2022-09-09
4,1,오후 4:22:24.0,73.06197574,1.655,2022-09-09
5,1,오후 4:22:29.0,76.08649643,1.701,2022-09-09
6,1,오후 4:22:34.0,74.25677527,1.654,2022-09-09
7,1,오후 4:22:39.0,73.00784573,1.723,2022-09-09
8,1,오후 4:22:44.0,71.11937724,1.682,2022-09-09
9,1,오후 4:22:49.0,72.12181234,1.653,2022-09-09
10,1,오후 4:22:54.0,74.06197574,1.61,2022-09-09
11,1,오후 4:22:59.0,74.08649643,1.633,2022-09-09
12,1,오후 4:23:04.0,79.46428161,1.870160413,2022-09-09
13,1,오후 4:23:09.0,72.13914228,1.678,2022-09-09
14,1,오후 4:23:14.0,71.66042142,1.613,2022-09-09
15,1,오후 4:23:19.0,72.17766014,1.633,2022-09-09
16,1,오후 4:23:24.0,70.58643441,1.622,2022-09-09
17,1,오후 4:23:29.0,70.87710396,1.634,2022-09-09
18,1,오후 4:23:34.0,72.01353467,1.598,2022-09-09
19,1,오후 4:23:39.0,69.04198315,1.604,2022-09-09
20,1,오후 4:23:44.0,69.31247367,1.63,2022-09-09
21,1,오후 4:23:49.1,71.53366359,1.563,2022-09-09
22,1,오후 4:23:54.1,69.74042367,1.569,2022-09-09
23,1,오후 4:23:59.1,70.0451851,1.619,2022-09-09
24,1,오후 4:24:04.1,70.4724905,1.579,2022-09-09
25,1,오후 4:24:09.1,69.04198315,1.586,2022-09-09
26,1,오후 4:24:14.1,68.31247367,1.595,2022-09-09
27,1,오후 4:24:19.1,69.53366359,1.563,2022-09-09
28,1,오후 4:24:24.1,69.74042367,1.546,2022-09-09
29,1,오후 4:24:29.1,67.0451851,1.574,2022-09-09
30,1,오후 4:24:34.1,68.4724905,1.578,2022-09-09
31,1,오후 4:24:39.1,66.08489761,1.517,2022-09-09
32,1,오후 4:24:44.1,65.47081535,1.55,2022-09-09
33,1,오후 4:24:49.1,65.84317473,1.496,2022-09-09
34,1,오후 4:24:54.1,66.18546554,1.481,2022-09-09
35,1,오후 4:24:59.1,66.55671043,1.49,2022-09-09
36,1,오후 4:25:04.1,65.93957562,1.498,2022-09-09
37,2,오후 4:25:30.4,73.04198315,1.507,2022-09-09
38,2,오후 4:25:35.4,75.31247367,1.493,2022-09-09
39,2,오후 4:25:40.4,76.53366359,1.654,2022-09-09
40,2,오후 4:25:45.4,73.74042367,1.705,2022-09-09
41,2,오후 4:25:50.5,76.0451851,1.733,2022-09-09
42,2,오후 4:25:55.5,75.4724905,1.67,2022-09-09
43,2,오후 4:26:00.5,71.13914228,1.722,2022-09-09
44,2,오후 4:26:05.5,71.66042142,1.709,2022-09-09
45,2,오후 4:26:10.5,75.17766014,1.61,2022-09-09
46,2,오후 4:26:15.5,73.58643441,1.623,2022-09-09
47,2,오후 4:26:20.5,74.87710396,1.702,2022-09-09
48,2,오후 4:26:25.5,76.01353467,1.666,2022-09-09
49,2,오후 4:26:30.5,72.204035,1.696,2022-09-09
50,2,오후 4:26:35.5,71.87178422,1.721,2022-09-09
51,2,오후 4:26:40.5,73.49957941,1.634,2022-09-09
52,2,오후 4:26:45.5,70.86391347,1.627,2022-09-09
53,2,오후 4:26:50.5,73.90814854,1.664,2022-09-09
54,2,오후 4:26:55.5,71.66209656,1.604,2022-09-09
55,2,오후 4:27:00.5,71.04198315,1.673,2022-09-09
56,2,오후 4:27:05.5,70.31247367,1.622,2022-09-09
57,2,오후 4:27:10.5,70.53366359,1.609,2022-09-09
58,2,오후 4:27:15.5,68.74042367,1.592,2022-09-09
59,2,오후 4:27:20.6,79.17491839,1.831298511,2022-09-09
60,2,오후 4:27:25.6,70.4724905,1.556,2022-09-09
61,2,오후 4:27:30.6,69.08489761,1.562,2022-09-09
62,2,오후 4:27:35.6,67.47081535,1.596,2022-09-09
63,2,오후 4:27:40.6,67.84317473,1.564,2022-09-09
64,2,오후 4:27:45.6,67.18546554,1.527,2022-09-09
65,2,오후 4:27:50.6,70.55671043,1.536,2022-09-09
66,2,오후 4:27:55.6,69.93957562,1.52,2022-09-09
67,2,오후 4:28:00.6,66.08489761,1.597,2022-09-09
68,2,오후 4:28:05.6,67.47081535,1.583,2022-09-09
69,2,오후 4:28:10.6,65.84317473,1.495,2022-09-09
70,2,오후 4:28:15.6,66.18546554,1.527,2022-09-09
71,2,오후 4:28:20.6,65.55671043,1.49,2022-09-09
