0,1,2,3,4,5,6,7,8,9,10,11
2022-09-06,32,33,20,21,22,31,,,,,
2022-09-07,32,33,34,,,,,,,,
2022-09-08,,,,,,,,,,,
2022-09-09,15,16,17,21,22,23,29,30,31,,
2022-09-10,32,28,29,30,31,,,,,,
2022-09-13,27,28,29,,,,,,,,
2022-09-14,,,,,,,,,,,
2022-09-15,40,41,39,,,,,,,,
2022-09-16,2,35,3,34,36,,,,,,
2022-09-17,12,13,14,16,17,18,28,29,,,
2022-09-23,8,9,6,7,,,,,,,
2022-09-24,,,,,,,,,,,
2022-09-27,13,14,15,,,,,,,,
2022-09-28,,,,,,,,,,,
2022-09-29,10,11,,,,,,,,,
2022-09-30,32,1,2,3,22,23,24,28,29,30,31
2022-10-01,17,18,19,20,21,,,,,,
2022-10-05,40,38,39,,,,,,,,
2022-10-06,18,19,20,,,,,,,,
2022-10-07,40,38,39,,,,,,,,
2022-10-08,41,42,43,18,19,20,,,,,
2022-10-12,34,35,36,,,,,,,,
2022-10-13,35,36,37,39,40,41,,,,,
2022-10-14,,,,,,,,,,,
2022-10-15,,,,,,,,,,,
2022-10-18,11,12,13,15,16,17,,,,,
2022-10-19,41,42,43,24,25,26,,,,,
2022-10-20,16,17,,,,,,,,,
2022-10-21,,,,,,,,,,,
2022-10-22,,,,,,,,,,,
2022-10-25,,,,,,,,,,,
2022-10-26,32,33,37,38,39,31,,,,,
2022-10-27,,,,,,,,,,,
