Index,Lot,Time,pH,Temp,Current
1,1,오후 4:25:52.0,9.88,42.47,8.6
2,1,오후 4:25:57.0,9.64,43.92,7.61
3,1,오후 4:26:02.0,10,45.05,7.33
4,1,오후 4:26:07.0,10.8,47.87,8.25
5,1,오후 4:26:12.0,10.31,47.86,8.24
6,1,오후 4:26:17.0,11.27,47.65,7.01
7,1,오후 4:26:22.0,10.37,44.51,8.04
8,1,오후 4:26:27.0,9.89,44.13,7.21
9,1,오후 4:26:32.0,10.16,43.14,7.01
10,1,오후 4:26:37.0,9.97,43.48,8.01
11,1,오후 4:26:42.0,10.84,43.45,8.86
12,1,오후 4:26:47.0,10.18,44.29,8.74
13,1,오후 4:26:52.0,10.65,43.15,7.15
14,1,오후 4:26:57.0,10.6,43.18,7.31
15,1,오후 4:27:02.0,10.16,45.54,7.61
16,1,오후 4:27:07.0,10.82,44.94,8.23
17,1,오후 4:27:12.0,10.67,42.57,7.37
18,1,오후 4:27:17.0,10.86,46.97,7.26
19,1,오후 4:27:22.0,10.46,46.54,7.01
20,1,오후 4:27:27.0,10.18,42.89,8.64
21,1,오후 4:27:32.0,10.37,43.99,8.66
22,1,오후 4:27:37.0,11.27,47.65,7.01
23,1,오후 4:27:42.1,10.94,42.22,8.29
24,1,오후 4:27:47.1,10.11,44.88,8.79
25,1,오후 4:27:52.1,10.52,42.63,8.82
26,1,오후 4:27:57.1,10.96,44.5,7.69
27,1,오후 4:28:02.1,9.82,44.79,8.2
28,1,오후 4:28:07.1,10.33,44.21,7.99
29,1,오후 4:28:12.1,9.68,47.97,8.94
30,1,오후 4:28:17.1,10.33,43.3,8.03
31,1,오후 4:28:22.1,10.8,44.22,7.76
32,1,오후 4:28:27.1,9.83,43.99,8.22
33,1,오후 4:28:32.1,10.46,47.13,8.97
34,1,오후 4:28:37.1,10.94,43.63,8.4
35,1,오후 4:28:42.1,10.91,44.95,7.96
36,1,오후 4:28:47.1,10.4,45.19,7.51
37,1,오후 4:28:52.1,10.25,45.14,8.44
38,1,오후 4:28:57.1,10.47,46.09,7.09
39,1,오후 4:29:02.1,11.27,47.65,7.01
40,1,오후 4:29:07.1,10.38,44.63,7.12
41,1,오후 4:29:12.2,9.91,43.25,7.51
42,1,오후 4:29:17.2,10.11,47.8,7.48
43,1,오후 4:29:22.2,10.82,47.77,7.42
44,1,오후 4:29:27.2,10.81,46.04,8.27
45,1,오후 4:29:32.2,10.68,44.17,8.32
46,1,오후 4:29:37.2,10.36,47.16,7.87
47,1,오후 4:29:42.2,10.94,45.05,7.06
48,1,오후 4:29:47.2,10.98,46.59,7.33
49,1,오후 4:29:52.2,10.34,47.17,8.67
50,1,오후 4:29:57.2,10.4,44.64,7.48
51,1,오후 4:30:02.2,10.43,44.53,7.54
52,1,오후 4:30:07.2,10.09,47.6,7.11
53,1,오후 4:30:12.2,9.64,42.73,8.01
54,1,오후 4:30:17.2,10.38,44.42,8.55
55,1,오후 4:30:22.2,9.78,45.21,8.58
56,1,오후 4:30:27.2,10.79,45.67,7.82
57,1,오후 4:30:32.2,10.36,44.33,7.18
58,1,오후 4:30:37.2,10.83,45.63,8.34
59,1,오후 4:30:42.2,9.67,45.54,8.45
60,1,오후 4:30:47.2,11.27,47.65,7.01
61,1,오후 4:30:52.3,9.98,44.47,8.18
62,1,오후 4:30:57.3,9.81,44.74,8.24
63,1,오후 4:31:02.3,10.7,45.17,7.9
64,1,오후 4:31:07.3,10.99,44.87,8.48
65,1,오후 4:31:12.3,10.5,47.36,8.73
66,1,오후 4:31:17.3,9.75,47.3,8.71
67,1,오후 4:31:22.3,9.75,45.17,7.94
68,1,오후 4:31:27.3,10.27,44.25,8.99
69,1,오후 4:31:32.3,10.47,43.17,8.68
70,2,오후 4:31:57.7,9.62,42.77,7.93
71,2,오후 4:32:02.7,10.51,45.8,8.4
72,2,오후 4:32:07.7,10.39,42.68,8.25
73,2,오후 4:32:12.7,10.5,45.78,7.62
74,2,오후 4:32:17.7,10.87,46.5,7.97
75,2,오후 4:32:22.7,10.95,47.39,8.26
76,2,오후 4:32:27.7,9.8,51.52,7.53
77,2,오후 4:32:32.7,10.87,46.06,7.62
78,2,오후 4:32:37.7,9.91,44.86,7.69
79,2,오후 4:32:42.7,10.56,43.21,8.26
80,2,오후 4:32:47.7,9.53,44.07,8.09
81,2,오후 4:32:52.7,10.38,42.09,8.89
82,2,오후 4:32:57.7,10.03,42.71,8.23
83,2,오후 4:33:02.7,10.67,47.11,8.77
84,2,오후 4:33:07.7,10.17,42.99,7.66
85,2,오후 4:33:12.7,10.89,44.61,7.76
86,2,오후 4:33:17.8,10.42,45.26,7.25
87,2,오후 4:33:22.8,9.62,45.17,7.98
88,2,오후 4:33:27.8,9.68,44.49,8.97
89,2,오후 4:33:32.8,10.79,44.48,8.26
90,2,오후 4:33:37.8,9.97,44.28,8.22
91,2,오후 4:33:42.8,9.92,46.12,7.49
92,2,오후 4:33:47.8,9.66,47.18,8.15
93,2,오후 4:33:52.8,9.92,46.22,7.59
94,2,오후 4:33:57.8,9.78,46.58,8.19
95,2,오후 4:34:02.8,9.98,46.33,8.64
96,2,오후 4:34:07.8,9.99,44.67,8.78
97,2,오후 4:34:12.8,10,46.85,8.57
98,2,오후 4:34:17.8,10.2,44.07,7.1
99,2,오후 4:34:22.8,10.46,44.34,8
100,2,오후 4:34:27.8,10.57,45.96,7.42
101,2,오후 4:34:32.8,9.67,45.63,8.17
102,2,오후 4:34:37.8,10.8,44.03,8.77
103,2,오후 4:34:42.8,10.62,43.66,8.91
104,2,오후 4:34:47.8,10.58,45.47,7.24
105,2,오후 4:34:52.8,10.49,42.23,8.86
106,2,오후 4:34:57.8,9.82,46.19,7.24
107,2,오후 4:35:02.8,9.54,45.72,8.74
108,2,오후 4:35:07.9,10.77,46.67,7.86
109,2,오후 4:35:12.9,10.78,47.46,7.32
110,2,오후 4:35:17.9,10.67,46.73,8.41
111,2,오후 4:35:22.9,10.56,43.23,7.14
112,2,오후 4:35:27.9,10.91,44.83,7.99
113,2,오후 4:35:32.9,10.98,44.72,7.81
114,2,오후 4:35:37.9,10.42,46.49,7.24
115,2,오후 4:35:42.9,9.79,46.89,5.62
116,2,오후 4:35:47.9,10.86,42.55,8.3
117,2,오후 4:35:52.9,10.44,44.36,7.31
118,2,오후 4:35:57.9,9.56,43.6,7.85
119,2,오후 4:36:02.9,10.9,42.83,7.41
120,2,오후 4:36:07.9,10.57,44.1,8.6
121,2,오후 4:36:12.9,10.38,43.19,7.14
122,2,오후 4:36:17.9,10.84,44.73,7.03
123,2,오후 4:36:22.9,9.82,42.99,8.6
124,2,오후 4:36:27.9,10.63,47.72,8.07
125,2,오후 4:36:32.9,10.9,47.06,8.74
126,2,오후 4:36:37.9,10.92,46.42,8.95
127,2,오후 4:36:42.9,10.85,46.83,8.82
128,2,오후 4:36:48.0,10.54,43.17,8.32
129,2,오후 4:36:53.0,10.07,43.4,7.27
130,2,오후 4:36:58.0,10.64,42.54,8.57
131,2,오후 4:37:03.0,10.78,47.1,7.42
132,2,오후 4:37:08.0,9.64,45.23,8.64
133,2,오후 4:37:13.0,10.68,42.59,7.12
134,2,오후 4:37:18.0,10.54,45.85,7.92
135,2,오후 4:37:23.0,10.62,44.5,7.73
136,2,오후 4:37:28.0,10.54,44.56,8.4
137,2,오후 4:37:33.0,10.85,45.04,7.11
138,2,오후 4:37:38.0,9.82,46.23,8.7
139,3,오후 4:38:04.0,10.92,47.19,7.79
140,3,오후 4:38:09.0,9.62,46.62,8.93
141,3,오후 4:38:14.0,10.96,46.03,8.4
142,3,오후 4:38:19.0,9.79,45.82,7.53
143,3,오후 4:38:24.0,10.19,43,7.13
144,3,오후 4:38:29.0,10.71,43.37,7.01
145,3,오후 4:38:34.0,10.48,47.47,8.92
146,3,오후 4:38:39.0,10.87,45.96,7.86
147,3,오후 4:38:44.0,9.96,44.03,7.4
148,3,오후 4:38:49.0,10.22,44.65,7.99
149,3,오후 4:38:54.0,10.97,42.11,7.18
150,3,오후 4:38:59.0,10.83,46.84,7.72
151,3,오후 4:39:04.0,9.61,44.12,8.1
152,3,오후 4:39:09.0,10.05,46.03,7.53
153,3,오후 4:39:14.0,10.73,42.27,8.74
