CASE,PRICE,TYPE/MODEL,AGE,MILEAGE,VENDOR
1,30495,0,1,7,0
2,22250,0,3,16,0
3,23995,0,3,8,1
4,18495,0,3,15,2
5,20950,0,2,26,4
6,21500,0,3,18,4
7,19995,0,5,24,0
8,18950,0,5,20,3
9,15695,1,6,13,0
10,15995,1,6,27,1
11,16595,1,6,18,2
12,15995,1,6,25,2
13,9950,1,11,43,4
14,17995,2,3,23,0
15,17495,2,4,16,0
16,21995,2,3,13,1
17,21995,2,1,2,1
18,19695,2,2,5,2
19,16850,2,4,15,4
20,16750,2,4,44,4
21,19850,2,4,22,4
22,21000,2,3,5,3
23,17950,2,5,44,3
24,17995,3,1,6,1
25,16295,3,2,14,0
26,16495,3,3,4,1
27,15995,3,4,15,1
28,13995,3,3,7,1
29,16995,3,1,11,2
30,15595,3,3,14,2
31,11995,3,5,11,2
32,13195,3,4,13,2
33,8995,3,7,31,4
34,17500,3,4,25,4
35,15450,3,4,25,3
36,14750,3,2,21,3
37,15750,3,4,16,3
38,12250,3,5,27,3
39,10995,4,2,13,0
40,10995,4,2,12,0
41,10495,4,3,24,0
42,8995,4,5,34,0
43,10295,4,3,7,2
44,6450,4,7,41,3
45,10950,4,4,29,3
46,9750,4,4,21,3
47,6950,4,8,35,3
48,9950,4,3,11,3
49,8750,4,3,40,3
50,10750,4,2,12,4
51,4950,4,8,57,4
52,9250,4,2,23,4
53,9250,4,4,21,4
54,8995,4,3,24,4
