,pH,Temp,Current,passorfail,NG
0,10.37,42.87,7.34,,1.0
1,10.9,42.7,8.26,,1.0
2,9.61,42.37,8.46,,1.0
3,10.32,45.85,8.04,,1.0
4,10.36,44.18,7.23,,1.0
5,10.3,44.62,8.4,,1.0
6,10.51,46.44,8.02,,1.0
7,10.4,47.74,7.06,,1.0
8,10.78,42.41,7.21,,1.0
9,9.74,45.56,8.03,,1.0
10,10.61,45.39,7.37,,1.0
11,10.74,42.89,8.99,,1.0
12,9.65,44.49,7.61,,1.0
13,10.21,44.2,8.15,,1.0
14,10.57,46.51,7.68,,1.0
15,10.93,44.7,7.06,,1.0
16,10.11,43.52,7.26,,1.0
17,10.66,46.36,8.96,,1.0
18,10.61,47.41,8.13,,1.0
19,10.8,44.86,8.57,,1.0
20,10.64,47.94,8.16,,1.0
21,10.48,44.1,7.5,,1.0
22,10.67,43.87,8.2,,1.0
23,9.94,45.29,8.46,,1.0
24,10.27,42.96,7.26,,1.0
25,10.68,43.59,8.67,,1.0
26,10.53,42.77,8.73,,1.0
27,9.84,43.87,7.92,,1.0
28,10.54,47.63,8.27,,1.0
29,9.81,42.73,7.25,,1.0
30,9.81,45.06,7.33,,1.0
31,10.41,44.74,8.38,,1.0
32,10.16,46.46,8.19,,1.0
33,10.89,42.24,8.95,,1.0
34,10.02,42.56,8.34,,1.0
35,10.87,47.61,7.18,,1.0
36,10.13,46.33,8.48,,1.0
37,10.13,45.82,8.92,,1.0
38,10.09,42.55,8.16,,1.0
39,10.87,45.42,8.46,,1.0
40,9.82,47.22,7.58,,1.0
41,9.89,47.22,8.0,,1.0
42,10.43,46.94,8.89,,1.0
43,10.86,45.39,7.45,,1.0
44,9.67,45.58,7.32,,1.0
45,10.53,44.83,8.49,,1.0
46,10.88,47.23,8.89,,1.0
47,10.74,44.89,7.16,,1.0
48,9.82,43.41,7.65,,1.0
49,10.8,44.27,8.58,,1.0
50,9.75,43.57,8.82,,1.0
51,10.1,46.74,8.24,,1.0
52,10.46,46.62,8.77,,1.0
53,10.54,47.05,8.13,,1.0
54,9.75,43.94,7.72,,1.0
55,9.95,45.45,8.39,,1.0
56,10.07,43.41,7.97,,1.0
57,10.63,45.92,7.95,,1.0
58,9.76,46.03,8.98,,1.0
59,9.82,45.28,7.62,,1.0
60,10.61,44.32,8.73,,1.0
61,9.57,42.77,8.29,,1.0
62,9.56,44.28,8.92,,1.0
63,9.58,44.41,8.33,,1.0
64,10.32,44.87,8.08,,1.0
65,10.2,43.68,7.51,,1.0
66,9.84,42.87,8.67,,1.0
67,10.94,46.15,8.1,,1.0
68,9.78,42.34,8.94,,1.0
69,9.84,46.73,8.3,,1.0
70,10.67,46.06,7.4,,1.0
71,9.74,43.1,8.04,,1.0
72,10.35,46.67,8.71,,1.0
73,9.93,42.54,7.72,,1.0
74,9.75,45.96,8.05,,1.0
75,10.39,47.08,7.04,,1.0
76,10.08,43.95,7.47,,1.0
77,9.98,43.09,7.91,,1.0
78,10.1,44.27,7.77,,1.0
79,10.21,45.33,8.11,,1.0
80,10.98,45.34,8.08,,1.0
81,10.88,43.07,8.53,,1.0
82,10.66,43.97,7.76,,1.0
83,10.79,46.56,8.74,,1.0
84,9.78,45.59,8.64,,1.0
85,9.66,44.5,8.69,,1.0
86,10.04,45.03,8.4,,1.0
87,10.43,43.51,8.48,,1.0
88,9.63,47.42,8.89,,1.0
89,10.12,42.5,8.75,,1.0
90,10.02,46.99,7.73,,1.0
91,10.75,47.6,7.26,,1.0
92,10.73,44.82,8.94,,1.0
93,10.64,44.38,7.08,,1.0
94,9.62,47.26,8.86,,1.0
95,10.17,44.58,8.28,,1.0
96,9.74,44.99,8.0,,1.0
97,10.34,43.27,7.96,,1.0
98,10.04,43.13,7.88,,1.0
99,9.56,47.59,8.73,,1.0
100,10.82,46.06,8.54,,1.0
101,10.27,46.32,7.91,,1.0
102,10.25,42.91,8.93,,1.0
103,9.54,45.17,8.34,,1.0
104,9.76,47.78,7.46,,1.0
105,9.78,43.81,8.57,,1.0
106,10.03,46.22,7.92,,1.0
107,10.55,46.68,7.89,,1.0
108,10.25,45.31,8.61,,1.0
109,10.76,46.0,8.56,,1.0
110,9.77,43.02,7.73,,1.0
111,9.61,42.39,7.51,,1.0
112,9.79,43.99,7.1,,1.0
113,10.48,45.74,7.85,,1.0
114,10.39,42.54,8.48,,1.0
115,9.51,46.33,7.71,,1.0
116,9.62,45.72,7.87,,1.0
117,10.36,43.94,7.66,,1.0
118,10.64,43.05,8.81,,1.0
119,9.94,42.87,7.66,,1.0
120,10.96,44.59,8.8,,1.0
121,9.57,44.25,8.28,,1.0
122,10.0,42.01,8.79,,1.0
123,9.64,45.28,8.21,,1.0
124,10.46,46.52,8.95,,1.0
125,9.85,46.56,7.65,,1.0
126,10.46,43.13,8.48,,1.0
127,10.37,47.52,7.94,,1.0
128,9.98,45.47,7.33,,1.0
129,10.65,43.76,7.76,,1.0
130,10.93,45.43,7.8,,1.0
131,9.86,42.78,7.72,,1.0
132,10.28,45.5,8.03,,1.0
133,10.69,46.46,7.66,,1.0
134,10.35,44.76,7.95,,1.0
135,9.51,47.44,8.27,,1.0
136,10.35,47.89,7.36,,1.0
137,9.95,47.29,7.54,,1.0
138,10.69,45.85,7.28,,1.0
139,10.1,42.98,8.2,,1.0
140,10.37,42.04,8.69,,1.0
141,9.86,44.84,7.48,,1.0
142,10.49,43.67,7.86,,1.0
143,9.99,45.52,8.67,,1.0
144,9.96,44.16,7.54,,1.0
145,9.57,46.12,8.49,,1.0
146,9.81,44.57,8.24,,1.0
147,9.63,45.96,7.74,,1.0
148,10.62,46.04,8.46,,1.0
149,9.54,47.43,8.89,,1.0
150,10.62,46.73,8.77,,1.0
151,10.51,43.02,8.64,,1.0
152,10.6,47.74,7.49,,1.0
153,10.9,45.09,7.81,,1.0
154,10.08,45.65,7.01,,1.0
155,10.75,45.28,8.61,,1.0
156,10.66,45.64,7.32,,1.0
157,10.86,46.12,8.32,,1.0
158,10.4,42.11,7.6,,1.0
159,10.51,47.35,7.16,,1.0
160,10.6,44.22,8.96,,1.0
161,9.62,42.42,8.8,,1.0
162,9.54,44.24,7.33,,1.0
163,10.45,43.44,7.41,,1.0
164,9.62,43.12,8.26,,1.0
165,10.41,45.24,7.86,,1.0
166,10.22,47.86,8.13,,1.0
167,10.04,43.78,8.61,,1.0
168,10.06,47.22,8.68,,1.0
169,9.7,46.99,8.72,,1.0
170,10.0,43.57,8.73,,1.0
171,10.67,45.48,8.63,,1.0
172,10.12,46.12,7.3,,1.0
173,10.31,43.58,8.16,,1.0
174,10.81,46.39,8.04,,1.0
175,10.82,44.95,7.67,,1.0
176,10.67,47.54,8.26,,1.0
177,10.86,43.03,8.18,,1.0
178,9.61,46.37,8.13,,1.0
179,10.04,42.05,8.11,,1.0
180,10.62,43.66,8.78,,1.0
181,10.49,44.49,7.2,,1.0
182,9.68,43.21,7.87,,1.0
183,9.96,43.98,7.99,,1.0
184,10.69,46.76,7.53,,1.0
185,9.62,45.99,8.32,,1.0
186,9.64,46.48,7.51,,1.0
187,11.27,47.65,7.01,,1.0
188,9.71,46.77,8.84,,1.0
189,9.95,47.98,8.28,,1.0
190,10.56,44.34,8.43,,1.0
191,10.5,46.68,8.41,,1.0
192,10.45,43.81,7.03,,1.0
193,10.31,43.14,8.21,,1.0
194,10.69,44.84,8.21,,1.0
195,9.56,46.2,7.98,,1.0
196,11.27,47.65,7.01,,1.0
197,10.99,43.8,7.01,,1.0
198,10.2,42.06,8.41,,1.0
199,9.84,46.89,8.42,,1.0
200,11.27,47.65,7.01,,1.0
201,11.27,47.65,7.01,,1.0
202,9.62,45.53,8.1,,1.0
203,10.66,47.62,8.78,,1.0
204,9.69,43.99,8.12,,1.0
205,10.59,45.14,8.84,,1.0
206,10.82,46.42,7.37,,1.0
207,9.92,42.85,8.0,,1.0
208,10.24,42.23,7.53,,1.0
209,10.97,44.84,7.03,,1.0
210,10.23,47.68,8.29,,1.0
211,10.94,47.63,8.22,,1.0
212,10.47,42.79,8.83,,1.0
213,10.12,47.97,7.21,,1.0
214,10.32,46.76,8.09,,1.0
215,10.16,43.52,8.98,,1.0
216,10.54,47.85,7.64,,1.0
217,10.14,46.76,8.43,,1.0
218,9.94,46.91,8.94,,1.0
219,10.8,42.48,8.34,,1.0
220,11.78,45.06,6.29,,1.0
221,10.94,42.55,7.41,,1.0
222,10.23,45.49,8.49,,1.0
223,10.11,44.46,8.42,,1.0
224,10.9,42.52,7.33,,1.0
225,9.93,43.01,7.33,,1.0
226,9.7,44.99,8.53,,1.0
227,10.59,42.31,7.26,,1.0
228,10.22,44.01,8.78,,1.0
