Index,Lot,Time,pH,Temp,Current
1,1,오후 4:22:28.0,9.52,45.03,8.17
2,1,오후 4:22:33.0,10.68,45.34,8.38
3,1,오후 4:22:38.0,10.41,43.06,7.46
4,1,오후 4:22:43.0,10.86,47.72,8.9
5,1,오후 4:22:48.0,10.83,42.58,7.27
6,1,오후 4:22:53.0,10.98,44.34,8.97
7,1,오후 4:22:58.0,9.96,47.83,8.19
8,1,오후 4:23:03.0,10.74,47.5,7.06
9,1,오후 4:23:08.0,10.8,45.92,7.91
10,1,오후 4:23:13.0,10.26,44.83,7.79
11,1,오후 4:23:18.0,10.0,43.62,8.12
12,1,오후 4:23:23.0,9.59,42.72,7.37
13,1,오후 4:23:28.0,10.69,46.82,8.7
14,1,오후 4:23:33.0,10.16,45.59,7.56
15,1,오후 4:23:38.0,10.69,45.46,7.08
16,1,오후 4:23:43.0,10.17,42.83,8.81
17,1,오후 4:23:48.0,9.57,46.77,7.06
18,1,오후 4:23:53.1,10.5,44.57,8.78
19,1,오후 4:23:58.1,10.87,44.74,5.95
20,1,오후 4:24:03.1,10.87,44.08,7.11
21,1,오후 4:24:08.1,9.63,47.77,7.83
22,1,오후 4:24:13.1,10.35,46.3,8.32
23,1,오후 4:24:18.1,10.07,45.65,7.15
24,1,오후 4:24:23.1,10.54,45.5,7.9
25,1,오후 4:24:28.1,10.92,43.7,8.28
26,1,오후 4:24:33.1,10.43,44.07,7.71
27,1,오후 4:24:38.1,10.81,43.21,7.12
28,1,오후 4:24:43.1,10.29,44.47,8.19
29,1,오후 4:24:48.1,10.97,45.61,7.05
30,1,오후 4:24:53.1,10.2,47.11,8.05
31,1,오후 4:24:58.1,9.87,45.65,8.68
32,1,오후 4:25:03.1,10.95,46.01,8.13
33,1,오후 4:25:08.1,10.86,46.76,8.79
34,1,오후 4:25:13.1,9.67,44.49,7.57
35,1,오후 4:25:18.1,9.74,44.93,8.89
36,1,오후 4:25:23.1,9.64,46.2,7.8
37,1,오후 4:25:28.1,9.86,44.08,7.73
38,1,오후 4:25:33.1,9.97,44.57,8.35
39,1,오후 4:25:38.1,10.3,42.12,7.4
40,1,오후 4:25:43.1,10.7,42.27,7.45
41,1,오후 4:25:48.2,9.6,46.06,8.13
42,1,오후 4:25:53.2,10.85,44.25,8.85
43,1,오후 4:25:58.2,9.67,43.72,7.63
44,1,오후 4:26:03.2,10.78,47.4,8.83
45,1,오후 4:26:08.2,10.13,47.62,8.84
46,1,오후 4:26:13.2,10.96,45.83,8.12
47,1,오후 4:26:18.2,10.53,42.97,8.13
48,1,오후 4:26:23.2,10.01,45.0,8.13
49,1,오후 4:26:28.2,10.05,46.76,7.11
50,1,오후 4:26:33.2,9.64,42.55,7.22
51,1,오후 4:26:38.2,10.52,45.88,8.64
52,1,오후 4:26:43.2,9.87,46.33,7.94
53,1,오후 4:26:48.2,10.46,46.58,7.05
54,1,오후 4:26:53.2,10.86,45.4,7.3
55,1,오후 4:26:58.2,10.04,46.24,7.5
56,1,오후 4:27:03.2,10.56,43.54,8.41
57,1,오후 4:27:08.2,9.72,46.97,8.41
58,1,오후 4:27:13.2,10.31,43.91,7.04
59,1,오후 4:27:18.2,9.99,45.51,8.72
60,1,오후 4:27:23.2,10.85,45.1,8.79
61,1,오후 4:27:28.3,9.64,43.83,5.89
62,1,오후 4:27:33.3,9.66,47.7,7.28
63,1,오후 4:27:38.3,10.59,46.74,7.28
64,1,오후 4:27:43.3,10.58,44.15,7.31
65,1,오후 4:27:48.3,10.67,51.95,6.29
66,1,오후 4:27:53.3,10.42,46.19,8.67
67,1,오후 4:27:58.3,9.75,44.23,8.12
68,1,오후 4:28:03.3,10.99,46.02,8.13
69,1,오후 4:28:08.3,10.72,46.37,7.46
70,2,오후 4:28:34.2,10.55,42.37,8.57
71,2,오후 4:28:39.2,10.38,43.48,8.28
72,2,오후 4:28:44.2,10.05,46.13,7.75
73,2,오후 4:28:49.2,9.6,44.15,7.54
74,2,오후 4:28:54.3,10.82,47.68,8.85
75,2,오후 4:28:59.3,10.42,42.01,8.49
76,2,오후 4:29:04.3,10.95,45.2,8.37
