Index,Lot,Time,pH,Temp,Current
1,1,오후 4:20:05.0,10.38,43.01,7.31
2,1,오후 4:20:10.0,9.98,42.84,7.99
3,1,오후 4:20:15.0,10.34,45.75,7.78
4,1,오후 4:20:20.0,10.6,45.45,7.06
5,1,오후 4:20:25.0,10.76,42.95,8.2
6,1,오후 4:20:30.0,10.65,43.17,8.16
7,1,오후 4:20:35.0,10.16,45.05,8.39
8,1,오후 4:20:40.0,9.88,44.54,7.81
9,1,오후 4:20:45.0,10.45,46.82,8.61
10,1,오후 4:20:50.0,9.84,43.5,7.5
11,1,오후 4:20:55.0,9.8,43.14,8.98
12,1,오후 4:21:00.0,10.92,43.79,8.56
13,1,오후 4:21:05.0,9.88,43.46,7.71
14,1,오후 4:21:10.0,10.76,42.1,8.26
15,1,오후 4:21:15.0,10.53,45.12,7.09
16,1,오후 4:21:20.0,9.58,47.48,7.87
17,1,오후 4:21:25.1,10.38,46.26,7.88
18,1,오후 4:21:30.1,11.08,45.82,6.03
19,1,오후 4:21:35.1,9.55,43.91,7.83
20,1,오후 4:21:40.1,10.5,44.45,7.36
21,1,오후 4:21:45.1,10.15,43.35,7.8
22,1,오후 4:21:50.1,10.31,43.95,8.91
23,1,오후 4:21:55.1,9.88,46.45,8.39
24,1,오후 4:22:00.1,10.34,45.04,7.14
25,1,오후 4:22:05.1,10.18,44.64,8.55
26,1,오후 4:22:10.1,10.21,43.19,7.75
27,1,오후 4:22:15.1,9.77,45.44,8.92
28,1,오후 4:22:20.1,10.58,46.06,8.06
29,1,오후 4:22:25.1,10.87,47.58,8.98
30,1,오후 4:22:30.1,9.65,45.44,7.18
31,1,오후 4:22:35.1,10.49,46.69,8.13
32,1,오후 4:22:40.1,10.11,45.08,8.77
33,1,오후 4:22:45.1,9.87,44.21,8.61
34,1,오후 4:22:50.1,9.85,43.41,7.77
35,1,오후 4:22:55.1,10.03,44.19,7.47
36,1,오후 4:23:00.1,10.96,47.29,7.87
37,1,오후 4:23:05.1,10.66,42.43,8.39
38,1,오후 4:23:10.2,9.76,42.54,7.8
39,1,오후 4:23:15.2,9.79,43.56,7.55
40,1,오후 4:23:20.2,10.32,43.04,7.16
41,1,오후 4:23:25.2,10.52,45.63,8.79
42,1,오후 4:23:30.2,10.78,44.48,7.83
43,1,오후 4:23:35.2,10.47,43.04,7.95
44,1,오후 4:23:40.2,11.28,45.41,7.07
45,1,오후 4:23:45.2,10.94,44.27,8.58
46,1,오후 4:23:50.2,9.88,43.62,7.67
47,1,오후 4:23:55.2,10.67,42.71,7.2
48,1,오후 4:24:00.2,9.52,46.79,8.39
49,1,오후 4:24:05.2,10.65,47.83,8.25
50,1,오후 4:24:10.2,10.23,47.9,8.12
51,1,오후 4:24:15.2,10.57,45.68,8.72
52,1,오후 4:24:20.2,9.87,44.9,8.39
53,1,오후 4:24:25.2,9.87,47.37,8.36
54,1,오후 4:24:30.2,9.64,47.69,7.01
55,1,오후 4:24:35.3,10.55,46.93,8.76
56,1,오후 4:24:40.3,10.66,44.72,8.98
57,1,오후 4:24:45.3,9.58,47.14,7.24
58,1,오후 4:24:50.3,10.82,44.75,8.63
59,1,오후 4:24:55.3,10.17,45.67,7.21
60,1,오후 4:25:00.3,10.69,42.32,8.18
61,1,오후 4:25:05.3,10.24,47.49,7.88
62,1,오후 4:25:10.3,9.83,46.57,8.96
63,1,오후 4:25:15.3,10.65,46.83,7.68
64,1,오후 4:25:20.3,10.61,44.12,7.98
65,1,오후 4:25:25.3,10.44,42.96,8.32
66,1,오후 4:25:30.3,10.71,42.21,7.98
67,1,오후 4:25:35.3,10.18,45.09,7.44
68,1,오후 4:25:40.3,10.01,43.51,8.03
69,1,오후 4:25:45.3,10.11,47.63,8.34
70,2,오후 4:26:11.4,10.11,44.64,7.34
71,2,오후 4:26:16.4,9.93,43.23,7.26
72,2,오후 4:26:21.4,10.73,45.45,8.16
73,2,오후 4:26:26.4,10.17,45.08,7.24
74,2,오후 4:26:31.4,10.65,46.13,8.71
75,2,오후 4:26:36.4,10.09,43.69,8.72
76,2,오후 4:26:41.4,9.68,45.68,8.4
77,2,오후 4:26:46.4,10.52,43.38,8.03
78,2,오후 4:26:51.4,10.38,42.32,8.77
79,2,오후 4:26:56.4,10.67,47.95,8.91
80,2,오후 4:27:01.4,10.15,44.67,8.91
81,2,오후 4:27:06.4,10.34,47.43,8.61
82,2,오후 4:27:11.4,10.99,45.15,7.16
83,2,오후 4:27:16.4,10.91,46.68,7.34
84,2,오후 4:27:21.4,9.62,45.36,7.46
85,2,오후 4:27:26.4,10.55,42.26,8.0
86,2,오후 4:27:31.5,10.43,44.31,7.7
87,2,오후 4:27:36.5,10.44,44.47,7.04
88,2,오후 4:27:41.5,10.88,45.82,8.06
89,2,오후 4:27:46.5,9.63,46.68,8.42
90,2,오후 4:27:51.5,10.12,47.1,7.47
91,2,오후 4:27:56.5,10.15,47.94,7.69
92,2,오후 4:28:01.5,10.52,42.32,8.64
93,2,오후 4:28:06.5,9.73,46.66,7.52
94,2,오후 4:28:11.5,10.44,43.55,8.77
95,2,오후 4:28:16.5,10.67,43.6,8.06
96,2,오후 4:28:21.5,10.16,47.08,8.14
97,2,오후 4:28:26.5,10.69,43.96,8.82
98,2,오후 4:28:31.5,10.64,44.98,8.34
99,2,오후 4:28:36.5,10.64,45.98,7.3
100,2,오후 4:28:41.5,10.0,46.07,7.95
101,2,오후 4:28:46.5,10.52,45.15,8.73
102,2,오후 4:28:51.5,10.91,44.53,7.78
103,2,오후 4:28:56.5,10.42,43.36,7.03
104,2,오후 4:29:01.5,10.24,44.06,7.75
105,2,오후 4:29:06.6,10.43,45.06,7.34
106,2,오후 4:29:11.6,10.11,47.82,7.11
107,2,오후 4:29:16.6,10.17,44.43,8.47
108,2,오후 4:29:21.6,10.76,47.5,8.37
109,2,오후 4:29:26.6,10.98,43.33,7.98
110,2,오후 4:29:31.6,10.46,45.44,7.08
111,2,오후 4:29:36.6,9.54,47.63,8.29
112,2,오후 4:29:41.6,10.1,43.73,8.09
113,2,오후 4:29:46.6,9.83,42.76,8.16
114,2,오후 4:29:51.6,10.94,43.43,8.79
115,2,오후 4:29:56.6,10.49,45.19,8.39
116,2,오후 4:30:01.6,10.5,45.05,8.01
117,2,오후 4:30:06.6,10.97,45.63,7.49
118,2,오후 4:30:11.6,10.88,46.26,8.04
119,2,오후 4:30:16.6,10.66,44.0,7.34
120,2,오후 4:30:21.6,9.85,42.31,7.16
121,2,오후 4:30:26.6,10.24,43.81,7.32
122,2,오후 4:30:31.6,10.38,42.31,7.5
123,2,오후 4:30:36.6,10.89,46.9,7.02
124,2,오후 4:30:41.6,9.7,43.82,8.66
125,2,오후 4:30:46.6,10.93,47.88,8.18
126,2,오후 4:30:51.6,10.7,46.72,7.83
