Index,Lot,Time,pH,Temp,Current
1,1,오후 4:21:16.0,10.17,44.4,7.78
2,1,오후 4:21:21.0,10.42,44.7,7.86
3,1,오후 4:21:26.0,10.44,47.45,8.67
4,1,오후 4:21:31.0,10.79,45.37,8.04
5,1,오후 4:21:36.0,10.75,45.87,7.3
6,1,오후 4:21:41.0,10.65,42.76,8.67
7,1,오후 4:21:46.0,10.23,46.88,7.27
8,1,오후 4:21:51.0,10.96,44.25,8.43
9,1,오후 4:21:56.0,10.38,43.59,7.21
10,1,오후 4:22:01.0,10.37,45.36,8.42
11,1,오후 4:22:06.0,10.29,46.92,7.9
12,1,오후 4:22:11.0,10.46,47.27,8.04
13,1,오후 4:22:16.0,9.83,42.26,7.81
14,1,오후 4:22:21.0,10.0,44.9,7.23
15,1,오후 4:22:26.0,10.81,43.03,7.87
16,1,오후 4:22:31.0,10.91,42.47,8.25
17,1,오후 4:22:36.0,10.64,46.78,7.36
18,1,오후 4:22:41.0,9.86,44.94,7.1
19,1,오후 4:22:46.0,10.84,43.82,8.98
20,1,오후 4:22:51.1,9.72,44.96,7.02
21,1,오후 4:22:56.1,10.33,46.07,8.0
22,1,오후 4:23:01.1,10.64,44.65,8.96
23,1,오후 4:23:06.1,9.9,43.24,7.97
24,1,오후 4:23:11.1,9.57,45.57,7.81
25,1,오후 4:23:16.1,10.29,44.81,7.59
26,1,오후 4:23:21.1,10.0,47.04,7.13
27,1,오후 4:23:26.1,10.86,44.95,7.44
28,1,오후 4:23:31.1,10.32,42.21,7.81
29,1,오후 4:23:36.1,10.72,45.62,7.67
30,1,오후 4:23:41.1,10.73,43.49,8.63
31,1,오후 4:23:46.1,9.92,46.5,8.17
32,1,오후 4:23:51.1,10.33,43.25,8.62
33,1,오후 4:23:56.1,10.08,47.38,8.14
34,1,오후 4:24:01.1,9.7,46.71,8.62
35,1,오후 4:24:06.1,10.25,44.44,8.63
36,1,오후 4:24:11.1,9.68,44.8,7.85
37,1,오후 4:24:16.1,10.87,46.07,8.74
38,1,오후 4:24:21.1,10.93,43.09,7.17
39,1,오후 4:24:26.1,9.66,42.81,8.66
40,1,오후 4:24:31.1,10.0,43.16,7.57
41,1,오후 4:24:36.2,10.67,42.49,7.46
42,1,오후 4:24:41.2,10.61,43.14,8.09
43,1,오후 4:24:46.2,9.88,45.16,7.81
44,1,오후 4:24:51.2,9.9,44.79,7.28
45,1,오후 4:24:56.2,9.75,46.18,8.42
46,1,오후 4:25:01.2,10.57,45.91,7.66
47,1,오후 4:25:06.2,10.16,45.12,8.06
48,1,오후 4:25:11.2,9.88,44.67,7.58
49,1,오후 4:25:16.2,10.26,44.15,8.03
50,1,오후 4:25:21.2,9.58,47.27,8.89
51,1,오후 4:25:26.2,10.51,44.36,8.02
52,1,오후 4:25:31.2,9.6,43.7,8.88
53,1,오후 4:25:36.2,10.77,43.51,7.01
54,1,오후 4:25:41.2,9.64,46.78,7.28
55,1,오후 4:25:46.2,10.39,45.15,8.4
56,1,오후 4:25:51.2,10.48,44.27,8.42
57,1,오후 4:25:56.2,10.54,47.23,7.82
58,1,오후 4:26:01.2,9.76,47.2,7.26
59,1,오후 4:26:06.3,10.43,45.4,7.96
60,1,오후 4:26:11.3,10.71,43.96,8.32
61,1,오후 4:26:16.3,10.84,43.13,8.83
62,1,오후 4:26:21.3,10.95,43.29,7.93
63,1,오후 4:26:26.3,10.36,45.69,7.45
64,1,오후 4:26:31.3,10.12,42.1,7.28
65,1,오후 4:26:36.3,10.49,45.26,8.2
66,1,오후 4:26:41.3,10.39,42.14,8.65
67,1,오후 4:26:46.3,10.87,46.39,7.03
68,1,오후 4:26:51.3,10.85,43.91,7.2
69,1,오후 4:26:56.3,10.39,45.4,8.34
70,2,오후 4:27:22.6,9.71,43.97,8.92
71,2,오후 4:27:27.6,9.94,44.03,7.18
72,2,오후 4:27:32.6,9.62,45.94,7.23
73,2,오후 4:27:37.6,9.91,44.68,8.06
74,2,오후 4:27:42.6,9.52,44.16,7.02
75,2,오후 4:27:47.6,10.35,45.87,7.64
76,2,오후 4:27:52.6,9.74,42.55,8.34
77,2,오후 4:27:57.6,9.85,47.09,8.96
78,2,오후 4:28:02.6,10.44,44.13,7.15
79,2,오후 4:28:07.6,10.5,47.14,7.86
80,2,오후 4:28:12.6,9.98,46.54,7.12
81,2,오후 4:28:17.6,9.56,44.94,8.1
82,2,오후 4:28:22.7,10.82,45.38,7.89
83,2,오후 4:28:27.7,10.67,47.85,8.85
84,2,오후 4:28:32.7,10.02,42.91,8.66
