Index,Lot,Time,pH,Temp,Current
1,1,오후 4:22:37.0,10.93,43.86,7.44
2,1,오후 4:22:42.0,10.59,43.39,8.58
3,1,오후 4:22:47.0,9.78,45.5,8.59
4,1,오후 4:22:52.0,10.53,45.31,8.23
5,1,오후 4:22:57.0,10.24,46.65,8.96
6,1,오후 4:23:02.0,10.63,46.16,7.13
7,1,오후 4:23:07.0,9.94,47.18,8.79
8,1,오후 4:23:12.0,9.82,45.29,8.47
9,1,오후 4:23:17.0,10.84,44.72,7.53
10,1,오후 4:23:22.0,9.79,47.16,7.31
11,1,오후 4:23:27.0,9.76,42.98,8.23
12,1,오후 4:23:32.0,9.73,46.82,7.48
13,1,오후 4:23:37.0,10.07,42.38,7.84
14,1,오후 4:23:42.0,10.86,45.35,7.89
15,1,오후 4:23:47.0,9.52,44.4,7.73
16,1,오후 4:23:52.0,10.49,43.28,8.97
17,1,오후 4:23:57.0,10.54,42.73,8.04
18,1,오후 4:24:02.0,11.76,47.42,6.1
19,1,오후 4:24:07.0,9.97,45.52,8.21
20,1,오후 4:24:12.0,10.05,45.19,7.99
21,1,오후 4:24:17.1,11.12,46.5,8.76
22,1,오후 4:24:22.1,10.7,45.04,7.76
23,1,오후 4:24:27.1,10.2,43.89,8.49
24,1,오후 4:24:32.1,10.53,46.09,7.92
25,1,오후 4:24:37.1,9.64,45.38,8.35
26,1,오후 4:24:42.1,10.3,45.95,8.58
27,1,오후 4:24:47.1,9.89,45.2,7.01
28,1,오후 4:24:52.1,9.65,46.64,7.69
29,1,오후 4:24:57.1,10.28,43.79,8.5
30,1,오후 4:25:02.1,10.53,42.38,7.3
31,1,오후 4:25:07.1,9.9,43.2,8.34
32,1,오후 4:25:12.1,10.65,46.28,8.13
33,1,오후 4:25:17.1,10.83,46.09,7.9
34,1,오후 4:25:22.1,10.67,47.97,8.01
35,1,오후 4:25:27.1,10.49,42.24,7.37
36,1,오후 4:25:32.2,10.19,43.74,7.26
37,1,오후 4:25:37.2,10.14,45.46,8.78
38,1,오후 4:25:42.2,9.51,42.23,8.96
39,1,오후 4:25:47.2,10.8,42.03,8.17
40,1,오후 4:25:52.2,10.06,44.16,7.9
41,1,오후 4:25:57.2,10.08,46.06,7.42
42,1,오후 4:26:02.2,10.35,43.56,8.99
43,1,오후 4:26:07.2,10.78,45.29,7.36
44,1,오후 4:26:12.2,10.74,43.81,8.25
45,1,오후 4:26:17.2,9.7,45.05,7.86
46,1,오후 4:26:22.2,10.95,46.7,8.51
47,1,오후 4:26:27.2,9.6,47.14,8.95
48,1,오후 4:26:32.2,10.41,44.99,7.93
