Index,Lot,Time,pH,Temp,Current
1,1,오후 4:23:31.0,10.7,43.91,7.79
2,1,오후 4:23:36.0,10.74,42.38,8.32
3,1,오후 4:23:41.0,10.84,46.41,8.07
4,1,오후 4:23:46.0,9.92,47.42,8.45
5,1,오후 4:23:51.0,10.89,43.19,8.08
6,1,오후 4:23:56.0,10.66,43.19,8.66
7,1,오후 4:24:01.0,10.3,45.32,7.19
8,1,오후 4:24:06.0,9.9,42.65,8.51
9,1,오후 4:24:11.0,9.69,42.4,7.99
10,1,오후 4:24:16.0,10.65,47.99,8.13
11,1,오후 4:24:21.0,10.17,46.86,7.91
12,1,오후 4:24:26.0,10.07,44.33,7.28
13,1,오후 4:24:31.0,10.69,42.84,7.03
14,1,오후 4:24:36.0,10.76,44.87,7.83
15,1,오후 4:24:41.0,10.8,46.29,8.6
16,1,오후 4:24:46.0,10.12,45.07,8.25
17,1,오후 4:24:51.0,10.83,46.86,7.87
18,1,오후 4:24:56.0,9.91,45.71,7.72
19,1,오후 4:25:01.1,10.85,42.54,7.15
20,1,오후 4:25:06.1,9.73,47.78,8.23
21,1,오후 4:25:11.1,10.83,47.44,7.35
22,1,오후 4:25:16.1,10.82,46.11,8.06
23,1,오후 4:25:21.1,10.11,42.68,7.53
24,1,오후 4:25:26.1,9.98,44.14,8.47
25,1,오후 4:25:31.1,9.81,44.6,8.63
26,1,오후 4:25:36.1,10.47,47.94,8.59
27,1,오후 4:25:41.1,9.55,42.39,7.7
28,1,오후 4:25:46.1,10.55,45.82,7.35
29,1,오후 4:25:51.1,10.85,42.86,8.97
30,1,오후 4:25:56.1,10.65,45.92,7.47
31,1,오후 4:26:01.1,10.72,46.41,7.64
32,1,오후 4:26:06.1,9.69,43.72,8.51
33,1,오후 4:26:11.1,10.78,46.47,8.95
34,1,오후 4:26:16.1,10.38,43.88,8.46
35,1,오후 4:26:21.1,11.05,43.51,7.45
36,1,오후 4:26:26.1,10.56,42.94,7.36
37,1,오후 4:26:31.1,10.14,44.86,8.52
38,1,오후 4:26:36.1,9.9,47.45,8.53
39,1,오후 4:26:41.1,10.88,47.68,8.62
40,1,오후 4:26:46.2,10.9,43.51,8.25
41,1,오후 4:26:51.2,9.58,45.52,7.44
42,1,오후 4:26:56.2,10.32,44.7,7.4
43,1,오후 4:27:01.2,9.98,44.02,8.04
44,1,오후 4:27:06.2,10.71,46.44,7.44
45,1,오후 4:27:11.2,10.34,43.06,8.3
46,1,오후 4:27:16.2,10.55,44.08,7.88
47,1,오후 4:27:21.2,9.77,45.94,8.54
48,1,오후 4:27:26.2,9.87,43.01,7.45
49,1,오후 4:27:31.2,10.26,46.22,7.58
50,1,오후 4:27:36.2,10.34,45.23,7.36
51,1,오후 4:27:41.2,10.48,44.2,8.57
52,1,오후 4:27:46.2,9.7,47.25,8.28
53,1,오후 4:27:51.2,10.95,44.75,7.51
54,1,오후 4:27:56.2,9.58,46.06,8.0
55,1,오후 4:28:01.2,10.94,45.3,8.18
56,1,오후 4:28:06.2,10.62,45.13,8.97
57,1,오후 4:28:11.2,10.06,45.09,8.09
58,1,오후 4:28:16.2,9.65,42.04,7.1
59,1,오후 4:28:21.2,10.5,46.77,8.93
60,1,오후 4:28:26.2,10.2,44.59,8.59
61,1,오후 4:28:31.3,10.09,47.39,7.9
62,1,오후 4:28:36.3,10.23,45.41,7.95
63,1,오후 4:28:41.3,10.76,43.81,5.59
64,1,오후 4:28:46.3,10.93,46.58,7.98
65,1,오후 4:28:51.3,10.56,47.4,7.4
66,1,오후 4:28:56.3,10.1,47.73,7.76
67,1,오후 4:29:01.3,10.99,47.53,7.66
68,1,오후 4:29:06.3,11.59,42.95,7.9
69,1,오후 4:29:11.3,10.26,42.16,8.34
70,2,오후 4:29:37.2,10.4,43.72,8.02
71,2,오후 4:29:42.2,9.85,43.07,8.21
72,2,오후 4:29:47.2,9.59,44.96,7.21
73,2,오후 4:29:52.2,10.19,45.42,8.06
74,2,오후 4:29:57.2,10.79,46.69,7.98
75,2,오후 4:30:02.2,9.93,44.34,7.94
76,2,오후 4:30:07.2,9.51,46.18,7.31
77,2,오후 4:30:12.2,9.85,45.08,8.65
78,2,오후 4:30:17.2,9.75,46.28,8.79
79,2,오후 4:30:22.2,10.58,47.05,7.19
80,2,오후 4:30:27.2,9.92,46.9,8.26
81,2,오후 4:30:32.2,10.32,46.27,7.7
82,2,오후 4:30:37.2,9.9,46.42,8.62
83,2,오후 4:30:42.2,9.95,44.27,8.8
84,2,오후 4:30:47.2,10.29,42.45,8.07
85,2,오후 4:30:52.2,10.99,46.56,7.42
86,2,오후 4:30:57.2,9.79,42.41,8.13
87,2,오후 4:31:02.2,10.48,42.28,7.79
88,2,오후 4:31:07.2,10.81,43.73,7.79
89,2,오후 4:31:12.3,10.36,43.02,7.61
90,2,오후 4:31:17.3,10.71,44.32,5.73
91,2,오후 4:31:22.3,10.46,45.86,7.15
92,2,오후 4:31:27.3,10.59,45.96,7.29
93,2,오후 4:31:32.3,10.12,45.82,7.66
94,2,오후 4:31:37.3,10.77,45.48,7.51
95,2,오후 4:31:42.3,10.87,42.93,7.85
96,2,오후 4:31:47.3,10.68,46.95,8.4
97,2,오후 4:31:52.3,9.96,42.12,8.62
98,2,오후 4:31:57.3,10.91,44.42,7.8
99,2,오후 4:32:02.3,9.67,47.96,8.38
100,2,오후 4:32:07.3,10.85,46.64,7.96
101,2,오후 4:32:12.3,10.13,44.09,8.09
102,2,오후 4:32:17.3,10.06,43.27,8.99
