Index,Lot,Time,pH,Temp,Current
1,1,오후 4:25:56.0,9.77,46.29,8.5
2,1,오후 4:26:01.0,9.99,43.06,7.84
3,1,오후 4:26:06.0,9.92,43.71,7.5
4,1,오후 4:26:11.0,9.96,42.94,8.16
5,1,오후 4:26:16.0,10.36,47.2,7.83
6,1,오후 4:26:21.0,10.7,46.22,7.58
7,1,오후 4:26:26.0,10.05,45.04,7.25
8,1,오후 4:26:31.0,10.68,44.73,8.52
9,1,오후 4:26:36.0,10.04,46.77,7.56
10,1,오후 4:26:41.0,9.55,43.17,7.5
11,1,오후 4:26:46.0,10.3,43.74,8.21
12,1,오후 4:26:51.0,10.1,45.8,8.79
13,1,오후 4:26:56.0,9.93,44.98,7.82
14,1,오후 4:27:01.0,9.74,43.55,8.3
15,1,오후 4:27:06.0,10.84,45.67,7.84
16,1,오후 4:27:11.0,9.59,47.52,8.25
17,1,오후 4:27:16.0,10.25,47.41,8.9
18,1,오후 4:27:21.1,10.18,46.69,8.69
19,1,오후 4:27:26.1,10.63,50.63,7.06
20,1,오후 4:27:31.1,10.33,45.62,8.76
21,1,오후 4:27:36.1,9.81,44.17,7.68
22,1,오후 4:27:41.1,10.27,44.28,7.75
23,1,오후 4:27:46.1,9.72,44.35,7.29
24,1,오후 4:27:51.1,10.67,47.63,8.08
25,1,오후 4:27:56.1,10.84,44.6,7.95
26,1,오후 4:28:01.1,9.6,44.57,8.23
27,1,오후 4:28:06.1,10.25,44.72,7.43
28,1,오후 4:28:11.1,10.81,46.53,7.08
29,1,오후 4:28:16.1,9.57,44.5,8.84
30,1,오후 4:28:21.1,10.8,44.74,7.24
31,1,오후 4:28:26.1,10.6,46.2,8.77
32,1,오후 4:28:31.1,10.28,44.95,7.53
33,1,오후 4:28:36.1,10.39,44.82,7.96
34,1,오후 4:28:41.1,10.92,45.96,8.0
35,1,오후 4:28:46.2,10.8,47.77,7.32
36,1,오후 4:28:51.2,10.14,46.62,8.64
37,1,오후 4:28:56.2,10.2,43.75,8.73
38,1,오후 4:29:01.2,10.49,47.53,7.02
39,1,오후 4:29:06.2,10.69,42.3,7.6
40,1,오후 4:29:11.2,10.71,42.26,8.4
41,1,오후 4:29:16.2,9.7,46.14,7.03
42,1,오후 4:29:21.2,10.6,43.2,8.16
43,1,오후 4:29:26.2,9.62,44.28,7.57
44,1,오후 4:29:31.2,10.07,46.33,8.94
45,1,오후 4:29:36.2,10.62,45.46,8.44
46,1,오후 4:29:41.2,10.33,42.5,7.3
47,1,오후 4:29:46.2,10.76,45.85,8.03
48,1,오후 4:29:51.2,9.96,46.77,8.39
49,1,오후 4:29:56.2,9.92,44.13,8.08
50,1,오후 4:30:01.2,10.41,44.68,8.11
51,1,오후 4:30:06.2,9.7,45.34,8.44
52,1,오후 4:30:11.2,10.84,44.8,7.57
53,1,오후 4:30:16.2,10.37,46.69,8.21
54,1,오후 4:30:21.2,10.59,45.41,7.77
55,1,오후 4:30:26.3,10.52,47.2,8.29
56,1,오후 4:30:31.3,10.54,44.87,8.28
57,1,오후 4:30:36.3,10.27,45.56,7.71
58,1,오후 4:30:41.3,9.88,46.82,7.06
59,1,오후 4:30:46.3,10.42,42.76,7.96
60,1,오후 4:30:51.3,10.19,43.75,7.95
61,1,오후 4:30:56.3,10.67,46.07,7.11
62,1,오후 4:31:01.3,10.32,45.42,7.51
