Index,Process,Time,Temp,Current,Date,Label
1,1,오후 4:25:28.0,73.01093857,1.491,2022-10-20,0
2,1,오후 4:25:33.0,76.19333629,1.494,2022-10-20,0
3,1,오후 4:25:38.0,75.28386419,1.653,2022-10-20,0
4,1,오후 4:25:43.0,76.3394548,1.726,2022-10-20,0
5,1,오후 4:25:48.0,74.49933689,1.704,2022-10-20,0
6,1,오후 4:25:53.0,73.81608582,1.729,2022-10-20,0
7,1,오후 4:25:58.0,73.00784573,1.687,2022-10-20,0
8,1,오후 4:26:03.0,74.11937724,1.671,2022-10-20,0
9,1,오후 4:26:08.0,72.12181234,1.653,2022-10-20,0
10,1,오후 4:26:13.0,73.06197574,1.678,2022-10-20,0
11,1,오후 4:26:18.0,71.08649643,1.633,2022-10-20,0
12,1,오후 4:26:23.0,74.25677527,1.654,2022-10-20,0
13,1,오후 4:26:28.0,69.00784573,1.61,2022-10-20,0
14,1,오후 4:26:33.0,71.11937724,1.681,2022-10-20,0
15,1,오후 4:26:38.0,70.12181234,1.562,2022-10-20,0
16,1,오후 4:26:43.0,71.06197574,1.61,2022-10-20,0
17,1,오후 4:26:48.0,72.08649643,1.587,2022-10-20,0
18,1,오후 4:26:53.0,72.25677527,1.609,2022-10-20,0
19,1,오후 4:26:58.1,68.04198315,1.632,2022-10-20,0
20,1,오후 4:27:03.1,69.31247367,1.635,2022-10-20,0
21,1,오후 4:27:08.1,70.53366359,1.54,2022-10-20,0
22,1,오후 4:27:13.1,68.74042367,1.568,2022-10-20,0
23,1,오후 4:27:18.1,69.0451851,1.597,2022-10-20,0
24,1,오후 4:27:23.1,71.4724905,1.556,2022-10-20,0
25,1,오후 4:27:28.1,66.04198315,1.563,2022-10-20,0
26,1,오후 4:27:33.1,69.31247367,1.618,2022-10-20,0
27,1,오후 4:27:38.1,68.53366359,1.495,2022-10-20,0
28,1,오후 4:27:43.1,69.74042367,1.569,2022-10-20,0
29,1,오후 4:27:48.1,68.0451851,1.551,2022-10-20,0
30,1,오후 4:27:53.1,69.4724905,1.579,2022-10-20,0
31,1,오후 4:27:58.1,66.204035,1.54,2022-10-20,0
32,1,오후 4:28:03.1,66.87178422,1.573,2022-10-20,0
33,1,오후 4:28:08.1,67.49957941,1.498,2022-10-20,0
34,1,오후 4:28:13.1,67.86391347,1.513,2022-10-20,0
35,1,오후 4:28:18.1,68.90814854,1.528,2022-10-20,0
36,1,오후 4:28:23.1,68.66209656,1.536,2022-10-20,0
37,2,오후 4:28:48.2,73.01093857,1.559,2022-10-20,0
38,2,오후 4:28:53.2,75.19333629,1.555,2022-10-20,0
39,2,오후 4:28:58.2,76.28386419,1.653,2022-10-20,0
40,2,오후 4:29:03.2,75.3394548,1.703,2022-10-20,0
41,2,오후 4:29:08.2,73.49933689,1.727,2022-10-20,0
42,2,오후 4:29:13.2,76.81608582,1.706,2022-10-20,0
43,2,오후 4:29:18.2,72.13914228,1.664,2022-10-20,0
44,2,오후 4:29:23.2,73.66042142,1.74,2022-10-20,0
45,2,오후 4:29:28.3,73.17766014,1.633,2022-10-20,0
46,2,오후 4:29:33.3,74.58643441,1.667,2022-10-20,0
