epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66205,1.59269,4.33849,1.68748,0.002,0.6,0.0025,0.00135,0.96533,4.44589,1.35762,0,0,0
2,7.18689,1.87542,4.56773,1.75436,0.002,0.6,0.00357,0.00143,0.95669,4.4435,1.34837,1.802e-05,1.802e-05,1.802e-05
3,7.6815,1.91242,4.37848,1.80406,0.002,0.6,0.00296,0.00153,0.97016,4.41838,1.34663,3.208e-05,3.208e-05,3.208e-05
4,8.14156,1.63597,4.49574,1.58987,0.002,0.6,0.00299,0.00145,0.98367,4.41164,1.34388,4.218e-05,4.218e-05,4.218e-05
5,8.59014,1.53994,4.44264,1.49477,0.002,0.6,0.00248,0.00142,0.98126,4.43745,1.34237,4.832e-05,4.832e-05,4.832e-05
6,9.02917,1.66221,4.49758,1.79107,0.00133,0.4,0.00213,0.00123,0.98059,4.43999,1.34089,5.05e-05,5.05e-05,5.05e-05
7,9.51195,1.78095,4.38571,1.66137,0.002,0.6,0.00249,0.00149,1.03331,4.3818,1.30916,4.872e-05,4.872e-05,4.872e-05
8,10.0448,1.35829,4.25446,1.49788,0.002,0.6,0.0028,0.00147,1.02313,4.32129,1.24777,4.298e-05,4.298e-05,4.298e-05
9,10.5625,1.21443,4.15582,1.35191,0.002,0.6,0.00287,0.00149,0.99122,4.34678,1.20592,3.328e-05,3.328e-05,3.328e-05
10,11.141,1.47671,4.09947,1.55861,0.00267,0.8,0.0046,0.00219,0.97881,4.32362,1.17291,1.962e-05,1.962e-05,1.962e-05
