epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4129,0.58589,2.24608,0.91437,0.89683,0.71117,0.88756,0.6477,1.1681,1.85151,1.10478,0.000301894,0.000301894,0.000301894
2,119.216,0.36794,0.97619,0.81315,0.76299,0.96519,0.87669,0.62505,1.12939,1.35167,1.02229,0.00054501,0.00054501,0.00054501
3,164.33,0.30731,0.62674,0.79925,0.85318,0.82718,0.93292,0.60761,1.36193,1.43229,1.15284,0.000728131,0.000728131,0.000728131
4,208.56,0.26247,0.45399,0.78711,0.68712,0.8399,0.85157,0.55094,1.45568,1.24801,1.22422,0.000639027,0.000639027,0.000639027
5,252.919,0.22223,0.38317,0.78265,0.94222,0.79949,0.98827,0.6651,1.22591,1.05199,1.10412,0.000549036,0.000549036,0.000549036
6,297.558,0.18729,0.33098,0.77722,0.86957,0.86244,0.9449,0.58962,1.36464,0.95364,1.19785,0.000459045,0.000459045,0.000459045
7,341.858,0.16352,0.29816,0.76805,0.76866,0.96072,0.96396,0.6188,1.3099,0.88798,1.16344,0.000369054,0.000369054,0.000369054
8,386.265,0.14401,0.27364,0.77163,0.686,0.82946,0.73173,0.46142,1.41166,1.18359,1.21082,0.000279063,0.000279063,0.000279063
9,430.484,0.12788,0.22942,0.77173,0.99385,0.56248,0.79482,0.49902,1.44454,1.09921,1.20357,0.000189072,0.000189072,0.000189072
10,474.691,0.11028,0.19625,0.76263,0.75839,0.64635,0.653,0.41485,1.50337,1.41406,1.2982,9.9081e-05,9.9081e-05,9.9081e-05
