epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.53,0.61423,2.29074,0.92318,0.99773,0.97753,0.98569,0.93739,0.30935,0.7626,0.77936,0.000301894,0.000301894,0.000301894
2,158.899,0.37707,0.97644,0.81555,0.99557,0.98372,0.99086,0.93636,0.30824,0.53564,0.7867,0.00054501,0.00054501,0.00054501
3,203.367,0.33393,0.62435,0.80074,0.99354,0.98319,0.98983,0.934,0.30349,0.4084,0.7815,0.000728131,0.000728131,0.000728131
4,247.179,0.28378,0.46399,0.79069,0.99806,0.98355,0.99106,0.96921,0.2308,0.33349,0.76717,0.000639027,0.000639027,0.000639027
5,291.002,0.23992,0.38436,0.78551,0.99677,0.98534,0.99428,0.9496,0.22707,0.3282,0.77865,0.000549036,0.000549036,0.000549036
6,335.154,0.21278,0.34055,0.77944,0.99703,0.98819,0.99477,0.95994,0.21522,0.29726,0.77704,0.000459045,0.000459045,0.000459045
7,378.639,0.19538,0.3035,0.77154,0.99797,0.98872,0.99453,0.9394,0.2115,0.26575,0.78217,0.000369054,0.000369054,0.000369054
8,422.506,0.17117,0.2733,0.77503,0.99537,0.99201,0.9949,0.94933,0.1791,0.29071,0.77239,0.000279063,0.000279063,0.000279063
9,466.31,0.15319,0.2347,0.77401,0.99869,0.99016,0.99488,0.98969,0.15592,0.17839,0.76336,0.000189072,0.000189072,0.000189072
10,509.989,0.13611,0.20743,0.76466,0.99849,0.99202,0.9949,0.99097,0.14145,0.15039,0.7631,9.9081e-05,9.9081e-05,9.9081e-05
