epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4117,0.65679,2.35518,0.93421,0.99811,0.97638,0.98409,0.89731,0.37102,0.8171,0.79084,0.000301894,0.000301894,0.000301894
2,117.42,0.40475,1.00344,0.81784,0.99593,0.97985,0.98746,0.91951,0.34267,0.53956,0.77178,0.00054501,0.00054501,0.00054501
3,161.667,0.33669,0.63032,0.79926,0.99653,0.98558,0.99242,0.94215,0.2989,0.38459,0.76714,0.000728131,0.000728131,0.000728131
4,205.476,0.29952,0.46821,0.79193,0.9985,0.98471,0.99373,0.9409,0.19906,0.32937,0.75805,0.000639027,0.000639027,0.000639027
5,249.107,0.24653,0.38949,0.787,0.99802,0.98688,0.9946,0.96075,0.18655,0.32223,0.76489,0.000549036,0.000549036,0.000549036
6,293.21,0.21475,0.33785,0.78102,0.99657,0.9888,0.9946,0.95413,0.16983,0.29611,0.76736,0.000459045,0.000459045,0.000459045
7,336.753,0.18958,0.30612,0.77183,0.99533,0.98969,0.99476,0.94333,0.14353,0.31114,0.75408,0.000369054,0.000369054,0.000369054
8,380.509,0.16211,0.28153,0.77452,0.99801,0.98965,0.99488,0.96589,0.1342,0.28938,0.75503,0.000279063,0.000279063,0.000279063
9,424.153,0.1493,0.25452,0.77445,0.99698,0.99381,0.9949,0.96944,0.11152,0.23787,0.75054,0.000189072,0.000189072,0.000189072
10,467.912,0.12696,0.22308,0.76485,0.9924,0.99476,0.99497,0.99006,0.09431,0.17283,0.74879,9.9081e-05,9.9081e-05,9.9081e-05
