epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2519,0.62705,2.32489,0.93115,0.99785,0.97973,0.98451,0.90937,0.39822,0.80726,0.7807,0.000301894,0.000301894,0.000301894
2,121.767,0.39186,1.00041,0.81955,0.99598,0.9813,0.98952,0.93641,0.31387,0.52434,0.78091,0.00054501,0.00054501,0.00054501
3,165.895,0.33793,0.63679,0.80481,0.99417,0.98406,0.99139,0.93662,0.26074,0.39104,0.77901,0.000728131,0.000728131,0.000728131
4,209.276,0.29336,0.46889,0.79594,0.99639,0.98283,0.99377,0.9697,0.21108,0.3142,0.7753,0.000639027,0.000639027,0.000639027
5,252.58,0.2382,0.38628,0.78874,0.99741,0.9869,0.99445,0.96858,0.22399,0.28711,0.77981,0.000549036,0.000549036,0.000549036
6,296.325,0.20455,0.33513,0.78224,0.99409,0.99092,0.99452,0.96557,0.16557,0.28598,0.77644,0.000459045,0.000459045,0.000459045
7,339.683,0.18091,0.29958,0.77185,0.99795,0.98778,0.99407,0.95179,0.14997,0.27776,0.77038,0.000369054,0.000369054,0.000369054
8,383.402,0.15997,0.27166,0.77602,0.99448,0.9937,0.99495,0.98851,0.11764,0.21022,0.76585,0.000279063,0.000279063,0.000279063
9,426.986,0.13517,0.22621,0.77321,0.99914,0.98938,0.9949,0.98914,0.10285,0.17332,0.76166,0.000189072,0.000189072,0.000189072
10,470.367,0.12226,0.20463,0.76542,0.99875,0.99248,0.99494,0.99,0.08748,0.15862,0.76536,9.9081e-05,9.9081e-05,9.9081e-05
