epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7611,0.72797,2.42723,0.96565,0.99766,0.97905,0.98494,0.88536,0.41399,0.78444,0.77742,0.000301894,0.000301894,0.000301894
2,120.97,0.45293,1.04294,0.83645,0.99524,0.98386,0.98872,0.93982,0.35233,0.49925,0.78996,0.00054501,0.00054501,0.00054501
3,165.291,0.38709,0.66658,0.81756,0.9932,0.98187,0.99116,0.93569,0.32717,0.46553,0.81634,0.000728131,0.000728131,0.000728131
4,209.098,0.33772,0.49273,0.80541,0.9966,0.98415,0.99285,0.96149,0.26786,0.35622,0.78788,0.000639027,0.000639027,0.000639027
5,252.774,0.28211,0.40715,0.79631,0.99582,0.97943,0.99161,0.95202,0.2415,0.32394,0.77808,0.000549036,0.000549036,0.000549036
6,296.573,0.23844,0.35798,0.78872,0.9931,0.99063,0.99458,0.95444,0.20117,0.27754,0.78409,0.000459045,0.000459045,0.000459045
7,340.667,0.21382,0.32274,0.77623,0.99579,0.98521,0.99425,0.9422,0.17577,0.26834,0.77456,0.000369054,0.000369054,0.000369054
8,384.484,0.18632,0.30084,0.78029,0.99518,0.98677,0.99485,0.97178,0.18209,0.25446,0.77119,0.000279063,0.000279063,0.000279063
9,428.234,0.16958,0.27696,0.77897,0.99822,0.98717,0.99485,0.96421,0.1221,0.2243,0.76935,0.000189072,0.000189072,0.000189072
10,471.95,0.14819,0.25254,0.77042,0.99709,0.9931,0.99491,0.99011,0.10505,0.16046,0.77026,9.9081e-05,9.9081e-05,9.9081e-05
