epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.651,0.59162,2.26476,0.91643,0.99834,0.97761,0.98486,0.94024,0.34276,0.75442,0.77464,0.000301894,0.000301894,0.000301894
2,125.386,0.37101,0.98378,0.81342,0.99708,0.98149,0.98846,0.93817,0.27927,0.51586,0.77579,0.00054501,0.00054501,0.00054501
3,169.995,0.31209,0.62291,0.79932,0.99129,0.98162,0.9888,0.95374,0.25517,0.38025,0.78821,0.000728131,0.000728131,0.000728131
4,214.233,0.27424,0.45255,0.79012,0.99693,0.9848,0.99355,0.96158,0.20875,0.34259,0.76793,0.000639027,0.000639027,0.000639027
5,257.645,0.22337,0.37535,0.78418,0.99692,0.98478,0.9947,0.94752,0.17192,0.30292,0.78742,0.000549036,0.000549036,0.000549036
6,301.03,0.19128,0.32561,0.77872,0.9948,0.98952,0.99426,0.95645,0.15041,0.2926,0.78809,0.000459045,0.000459045,0.000459045
7,344.795,0.16754,0.29436,0.7691,0.99561,0.98691,0.99444,0.94075,0.18553,0.26029,0.78971,0.000369054,0.000369054,0.000369054
8,388.519,0.1512,0.26073,0.77492,0.99729,0.99092,0.99488,0.97325,0.11449,0.25922,0.77639,0.000279063,0.000279063,0.000279063
9,432.129,0.13155,0.21275,0.77421,0.99765,0.99044,0.99489,0.98924,0.10324,0.19392,0.76874,0.000189072,0.000189072,0.000189072
10,475.681,0.1141,0.19083,0.76406,0.99861,0.99195,0.99491,0.99016,0.087,0.15583,0.77091,9.9081e-05,9.9081e-05,9.9081e-05
