epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4909.04,0.27712,25.366,0.14027,0.94267,1,0.995,0.947,0.06941,0.28951,0.02273,0.000301874,0.000301874,0.000301874
2,9654.1,0.07612,0.15408,0.02344,0.99923,1,0.995,0.94662,0.06007,0.1139,0.01698,0.000544991,0.000544991,0.000544991
3,14106.9,0.06752,0.12862,0.02055,0.99939,1,0.995,0.94945,0.06167,0.1112,0.01688,0.000728115,0.000728115,0.000728115
4,16759.7,0.06315,0.12396,0.019,0.99948,1,0.995,0.9554,0.05904,0.10909,0.01575,0.000639027,0.000639027,0.000639027
5,19295.1,0.05604,0.11533,0.01506,0.999,1,0.995,0.95703,0.05658,0.10126,0.01455,0.000549036,0.000549036,0.000549036
6,21914.7,0.05422,0.10549,0.01484,0.99933,1,0.995,0.948,0.05213,0.08861,0.01307,0.000459045,0.000459045,0.000459045
7,24452,0.0509,0.09682,0.01334,0.99864,1,0.99496,0.95342,0.05267,0.09391,0.01305,0.000369054,0.000369054,0.000369054
8,26918.4,0.04841,0.08756,0.01225,0.99942,1,0.995,0.95634,0.04778,0.08401,0.0118,0.000279063,0.000279063,0.000279063
9,29457.7,0.04557,0.08372,0.01089,0.99943,1,0.995,0.94666,0.04876,0.07855,0.01056,0.000189072,0.000189072,0.000189072
10,31949.6,0.043,0.07587,0.01005,0.99923,1,0.995,0.94875,0.04852,0.0841,0.01127,9.9081e-05,9.9081e-05,9.9081e-05
