epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.367,0.52982,0.95661,0.92306,0.98645,0.99678,0.995,0.91518,0.41256,0.84366,0.83809,0.000301874,0.000301874,0.000301874
2,1178.58,0.4288,0.38424,0.85758,0.89031,0.99862,0.9847,0.91352,0.4245,0.82711,0.83897,0.000544991,0.000544991,0.000544991
3,1802.09,0.40333,0.32261,0.84656,0.92017,1,0.9873,0.93637,0.40664,0.45181,0.84075,0.000728115,0.000728115,0.000728115
4,2447.19,0.34582,0.27346,0.82671,0.99409,0.99972,0.995,0.962,0.30461,0.24797,0.80653,0.000639027,0.000639027,0.000639027
5,3127.07,0.28771,0.24373,0.80833,0.9984,1,0.995,0.96575,0.20747,0.21976,0.77531,0.000549036,0.000549036,0.000549036
6,4152.12,0.2103,0.2459,0.78661,0.99814,1,0.995,0.94696,0.15247,0.2269,0.75951,0.000459045,0.000459045,0.000459045
7,6588.89,0.17067,0.2349,0.77251,0.99879,1,0.995,0.97297,0.11671,0.23206,0.75314,0.000369054,0.000369054,0.000369054
8,7221.35,0.14066,0.21564,0.77016,0.99919,1,0.995,0.95012,0.11298,0.19882,0.74464,0.000279063,0.000279063,0.000279063
9,7883.64,0.11883,0.19857,0.7651,0.99912,1,0.995,0.95512,0.07296,0.18141,0.73898,0.000189072,0.000189072,0.000189072
10,8503.82,0.09301,0.17948,0.76318,0.99959,1,0.995,0.95469,0.0642,0.1667,0.74009,9.9081e-05,9.9081e-05,9.9081e-05
