epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.793,0.53208,1.10442,0.91183,0.99903,0.85714,0.85357,0.79413,0.53004,0.74384,0.85067,0.000301874,0.000301874,0.000301874
2,772.449,0.40866,0.34516,0.84154,0.93164,0.99894,0.98964,0.91438,0.38497,0.4844,0.81308,0.000544991,0.000544991,0.000544991
3,937.529,0.36747,0.2879,0.83296,0.99831,0.99976,0.995,0.9422,0.34274,0.27441,0.80297,0.000728115,0.000728115,0.000728115
4,1131.58,0.32528,0.25931,0.81576,0.98819,1,0.995,0.95725,0.28134,0.31935,0.78095,0.000639027,0.000639027,0.000639027
5,1334.48,0.28437,0.22344,0.8042,0.99873,1,0.995,0.96901,0.24513,0.20162,0.77743,0.000549036,0.000549036,0.000549036
6,1544.72,0.23867,0.18731,0.79542,0.99952,1,0.995,0.97723,0.18876,0.161,0.76081,0.000459045,0.000459045,0.000459045
7,1749.92,0.21358,0.17784,0.7879,0.99957,1,0.995,0.95226,0.16773,0.18303,0.75438,0.000369054,0.000369054,0.000369054
8,1910.06,0.17307,0.17278,0.78197,0.99967,1,0.995,0.97994,0.14939,0.16519,0.75562,0.000279063,0.000279063,0.000279063
9,2071.54,0.14393,0.1683,0.77406,0.99974,1,0.995,0.96064,0.1153,0.15366,0.74921,0.000189072,0.000189072,0.000189072
10,2244.78,0.11903,0.15439,0.77396,0.99929,1,0.995,0.97402,0.09694,0.14849,0.74428,9.9081e-05,9.9081e-05,9.9081e-05
