epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.364,0.54696,1.47454,0.90991,0.98819,0.99935,0.995,0.94085,0.35389,0.7498,0.80763,0.000301874,0.000301874,0.000301874
2,196.232,0.39074,0.33613,0.83121,0.99933,1,0.995,0.95068,0.32662,0.28233,0.78941,0.000544991,0.000544991,0.000544991
3,259.692,0.3388,0.2778,0.82008,0.99923,1,0.995,0.94436,0.30238,0.21537,0.79529,0.000728115,0.000728115,0.000728115
4,322.14,0.29797,0.24642,0.80697,0.99952,1,0.995,0.95441,0.25078,0.22302,0.77192,0.000639027,0.000639027,0.000639027
5,385.421,0.24213,0.2287,0.79493,0.99847,1,0.995,0.96704,0.18065,0.19846,0.76081,0.000549036,0.000549036,0.000549036
6,447.959,0.20177,0.20743,0.78476,0.99878,1,0.995,0.95496,0.13918,0.17301,0.75188,0.000459045,0.000459045,0.000459045
7,510.663,0.17552,0.2013,0.77485,0.99967,1,0.995,0.97762,0.12433,0.17695,0.75226,0.000369054,0.000369054,0.000369054
8,573.893,0.14992,0.18605,0.77653,0.99945,1,0.995,0.976,0.10387,0.17853,0.75422,0.000279063,0.000279063,0.000279063
9,636.542,0.12902,0.17884,0.76929,0.99963,1,0.995,0.97834,0.09726,0.14781,0.74746,0.000189072,0.000189072,0.000189072
10,701.748,0.10378,0.16354,0.76853,0.99972,1,0.995,0.97641,0.08247,0.14493,0.74324,9.9081e-05,9.9081e-05,9.9081e-05
