epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11938.5,0.52511,0.93428,0.95617,0.70298,0.28573,0.30977,0.20145,nan,nan,nan,0.000301874,0.000301874,0.000301874
2,14684.9,0.42588,0.4092,0.88446,0.97238,0.95918,0.99209,0.8189,0.46939,0.81288,0.87251,0.000544991,0.000544991,0.000544991
3,17517.5,0.35165,0.34761,0.84723,0.99442,1,0.995,0.91732,0.35743,0.33902,0.85343,0.000728115,0.000728115,0.000728115
4,20156.6,0.28128,0.31129,0.81524,0.99895,1,0.995,0.95572,0.2349,0.28267,0.75739,0.000639027,0.000639027,0.000639027
5,22904.3,0.22349,0.27286,0.79043,0.99858,1,0.995,0.94249,0.14592,0.24408,0.74619,0.000549036,0.000549036,0.000549036
6,25253.1,0.17753,0.24899,0.77923,0.99923,1,0.995,0.97269,0.12597,0.20984,0.74671,0.000459045,0.000459045,0.000459045
7,27978.6,0.15318,0.23065,0.77003,0.99966,1,0.995,0.97255,0.11682,0.1972,0.73467,0.000369054,0.000369054,0.000369054
8,30547.7,0.13867,0.21603,0.76947,0.99904,1,0.995,0.96019,0.096,0.18629,0.73881,0.000279063,0.000279063,0.000279063
9,33125.4,0.1121,0.19623,0.7642,0.9989,1,0.995,0.97294,0.07182,0.17683,0.72785,0.000189072,0.000189072,0.000189072
10,35438.5,0.08869,0.18132,0.76217,0.9991,1,0.995,0.95525,0.05705,0.1667,0.72675,9.9081e-05,9.9081e-05,9.9081e-05
