epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4537,0.56284,2.07277,0.89193,0.99879,1,0.995,0.91855,0.43192,0.59547,0.78877,0.000302154,0.000302154,0.000302154
2,147.117,0.33858,0.77252,0.80096,0.99948,0.99976,0.995,0.94623,0.26528,0.38783,0.76356,0.000545243,0.000545243,0.000545243
3,203.382,0.28848,0.46474,0.78722,0.99916,1,0.995,0.96844,0.24023,0.30049,0.76978,0.000728339,0.000728339,0.000728339
4,258.168,0.25025,0.35566,0.78194,0.99775,1,0.995,0.97413,0.17711,0.29274,0.76073,0.000639027,0.000639027,0.000639027
5,312.877,0.19993,0.28893,0.77561,0.99911,1,0.995,0.98558,0.19229,0.22498,0.76604,0.000549036,0.000549036,0.000549036
6,368.107,0.16821,0.25506,0.76351,0.99913,1,0.995,0.995,0.1334,0.19918,0.76813,0.000459045,0.000459045,0.000459045
7,423.013,0.14807,0.21962,0.76305,0.99917,1,0.995,0.995,0.12411,0.16444,0.75743,0.000369054,0.000369054,0.000369054
8,477.798,0.1288,0.20086,0.76524,0.99949,1,0.995,0.995,0.10507,0.14638,0.76194,0.000279063,0.000279063,0.000279063
9,532.822,0.10971,0.18601,0.75898,0.99959,1,0.995,0.995,0.06587,0.12523,0.76264,0.000189072,0.000189072,0.000189072
10,588.435,0.09321,0.16986,0.75673,0.99974,1,0.995,0.995,0.06081,0.10392,0.76231,9.9081e-05,9.9081e-05,9.9081e-05
