epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6351,0.50104,1.26013,0.88716,0.99932,1,0.995,0.95491,0.36952,0.2481,0.81303,0.000302154,0.000302154,0.000302154
2,147.744,0.35351,0.29623,0.82656,0.99932,0.9998,0.995,0.9325,0.38115,0.26066,0.82638,0.000545243,0.000545243,0.000545243
3,205.851,0.31117,0.24682,0.81123,0.99937,1,0.995,0.97279,0.24552,0.2067,0.78184,0.000728339,0.000728339,0.000728339
4,263.957,0.27235,0.21719,0.80347,0.9991,1,0.995,0.95565,0.26197,0.18138,0.78408,0.000639027,0.000639027,0.000639027
5,321.908,0.24442,0.19852,0.80123,0.99936,1,0.995,0.96687,0.25962,0.18352,0.78293,0.000549036,0.000549036,0.000549036
6,379.619,0.22873,0.18049,0.79335,0.99903,1,0.995,0.95672,0.19555,0.14937,0.77446,0.000459045,0.000459045,0.000459045
7,436.568,0.19014,0.17184,0.78586,0.99934,1,0.995,0.9744,0.16132,0.14579,0.77422,0.000369054,0.000369054,0.000369054
8,496.989,0.16278,0.16229,0.78255,0.99976,1,0.995,0.96281,0.13518,0.12906,0.75957,0.000279063,0.000279063,0.000279063
9,561.02,0.14069,0.15209,0.77442,0.99917,1,0.995,0.9684,0.10502,0.15108,0.75252,0.000189072,0.000189072,0.000189072
10,618.931,0.11544,0.13693,0.77105,0.99912,1,0.995,0.97356,0.08471,0.13075,0.74749,9.9081e-05,9.9081e-05,9.9081e-05
