epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,615.883,0.48109,0.94284,0.88191,0.88146,0.99924,0.995,0.95194,0.36357,0.7095,0.79921,0.000302154,0.000302154,0.000302154
2,1193.57,0.38866,0.31563,0.83589,0.90256,1,0.9935,0.94816,0.3554,0.45038,0.80456,0.000545243,0.000545243,0.000545243
3,1333.17,0.32915,0.2507,0.81156,0.99887,1,0.995,0.95233,0.28414,0.20914,0.78292,0.000728339,0.000728339,0.000728339
4,1474.27,0.30006,0.23514,0.80822,0.99834,0.99962,0.995,0.9594,0.21944,0.19671,0.7716,0.000639027,0.000639027,0.000639027
5,1616.99,0.24721,0.20494,0.7979,0.99949,0.99993,0.995,0.97252,0.1796,0.18318,0.76668,0.000549036,0.000549036,0.000549036
6,1759.45,0.20326,0.19267,0.78427,0.99881,1,0.995,0.96176,0.14695,0.17685,0.75761,0.000459045,0.000459045,0.000459045
7,1901.68,0.15801,0.18394,0.77232,0.99885,1,0.995,0.9718,0.16535,0.17829,0.7602,0.000369054,0.000369054,0.000369054
8,2043.37,0.14348,0.17226,0.76999,0.99935,1,0.995,0.97262,0.11838,0.17603,0.75132,0.000279063,0.000279063,0.000279063
9,2186.35,0.12304,0.15294,0.76414,0.99993,1,0.995,0.98639,0.10294,0.13696,0.74685,0.000189072,0.000189072,0.000189072
10,2328.43,0.10174,0.12235,0.76331,0.99949,1,0.995,0.99455,0.06671,0.08393,0.7414,9.9081e-05,9.9081e-05,9.9081e-05
