epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5331.56,0.48088,0.84781,0.8978,0.99665,0.99805,0.995,0.92943,0.37108,0.32125,0.82921,0.000302154,0.000302154,0.000302154
2,6695.92,0.39691,0.34752,0.84621,0.85979,0.99823,0.89325,0.84001,0.32207,2.30731,0.81053,0.000545243,0.000545243,0.000545243
3,7338.38,0.33904,0.31442,0.81847,0.99688,1,0.995,0.96427,0.24362,0.26861,0.78436,0.000728339,0.000728339,0.000728339
4,8031.95,0.27575,0.27034,0.80237,0.99757,1,0.995,0.96905,0.21886,0.27,0.78029,0.000639027,0.000639027,0.000639027
5,8584.29,0.21846,0.24383,0.78684,0.99854,1,0.995,0.95527,0.16967,0.24261,0.77145,0.000549036,0.000549036,0.000549036
6,9094.98,0.18433,0.21962,0.77609,0.99852,1,0.995,0.97699,0.13866,0.23339,0.76263,0.000459045,0.000459045,0.000459045
7,9690.12,0.14981,0.19594,0.77053,0.999,1,0.995,0.97039,0.13224,0.21658,0.76141,0.000369054,0.000369054,0.000369054
8,10228.4,0.13263,0.18447,0.76834,0.999,1,0.995,0.95491,0.08882,0.17025,0.75695,0.000279063,0.000279063,0.000279063
9,10858,0.1131,0.17323,0.76455,0.99911,1,0.995,0.95502,0.07594,0.16949,0.75479,0.000189072,0.000189072,0.000189072
10,11475.1,0.0942,0.16037,0.76407,0.99945,1,0.995,0.95495,0.06285,0.1633,0.75356,9.9081e-05,9.9081e-05,9.9081e-05
