epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3826.22,0.47488,0.80146,0.91389,0.82853,0.69,0.84824,0.715,nan,nan,nan,0.000302154,0.000302154,0.000302154
2,7204.52,0.38914,0.38854,0.86258,0.98565,0.99652,0.995,0.93217,0.30791,0.39488,0.81655,0.000545243,0.000545243,0.000545243
3,10852.9,0.30596,0.32153,0.81868,0.91978,0.99966,0.995,0.94634,0.24427,0.30025,0.76198,0.000728339,0.000728339,0.000728339
4,14259.8,0.27106,0.29398,0.80726,0.99766,0.99864,0.995,0.9515,0.19323,0.26877,0.75803,0.000639027,0.000639027,0.000639027
5,17627.9,0.19993,0.25431,0.78926,0.99745,0.99955,0.995,0.98101,0.15047,0.26342,0.74146,0.000549036,0.000549036,0.000549036
6,20897.9,0.16991,0.22847,0.77869,0.99932,0.99972,0.995,0.96868,0.1258,0.22859,0.73332,0.000459045,0.000459045,0.000459045
7,24193.7,0.14472,0.21406,0.77086,0.99913,1,0.995,0.96598,0.1096,0.20019,0.73513,0.000369054,0.000369054,0.000369054
8,27437.7,0.13054,0.202,0.76783,0.99968,1,0.995,0.97204,0.11684,0.20369,0.72802,0.000279063,0.000279063,0.000279063
9,30781.6,0.10604,0.18194,0.76247,0.99994,1,0.995,0.95778,0.07061,0.16759,0.72197,0.000189072,0.000189072,0.000189072
10,34174.4,0.08516,0.17198,0.76089,0.99967,1,0.995,0.97244,0.05777,0.17517,0.72193,9.9081e-05,9.9081e-05,9.9081e-05
